"year","scenario","repayments"
2027,"Without_Earmarks",167113873.305598
2028,"Without_Earmarks",169023379.108419
2029,"Without_Earmarks",162395244.23444
2030,"Without_Earmarks",155387890.748688
2031,"Without_Earmarks",151244514.044658
2032,"Without_Earmarks",137065584.13396
2033,"Without_Earmarks",127042407.417527
2034,"Without_Earmarks",130814218.65038
2035,"Without_Earmarks",132652314.189532
2036,"Without_Earmarks",135670225.5766
2037,"Without_Earmarks",137158661.901633
2038,"Without_Earmarks",141580870.893242
2039,"Without_Earmarks",147105513.591043
2040,"Without_Earmarks",153073715.025279
2041,"Without_Earmarks",154228236.735101
2042,"Without_Earmarks",158274974.658514
2043,"Without_Earmarks",155915549.972435
2044,"Without_Earmarks",149759661.58038
2045,"Without_Earmarks",142436181.05269
2046,"Without_Earmarks",147256839.171033
2027,"With_Earmarks",167113873.305598
2028,"With_Earmarks",169023379.108419
2029,"With_Earmarks",162395244.23444
2030,"With_Earmarks",154739689.508921
2031,"With_Earmarks",149948111.565125
2032,"With_Earmarks",135120980.41466
2033,"With_Earmarks",124449602.458459
2034,"With_Earmarks",127573212.451546
2035,"With_Earmarks",128763106.750931
2036,"With_Earmarks",131132816.898232
2037,"With_Earmarks",131973051.983499
2038,"With_Earmarks",135747059.735342
2039,"With_Earmarks",140623501.193376
2040,"With_Earmarks",145943501.387845
2041,"With_Earmarks",146449821.8579
2042,"With_Earmarks",149848358.541546
2043,"With_Earmarks",146840732.615701
2044,"With_Earmarks",140036642.983879
2045,"With_Earmarks",132064961.216422
2046,"With_Earmarks",136237418.094999
