"year","scenario","repayments"
2027,"Without_Earmarks",10766882.9185
2028,"Without_Earmarks",12123588.2945
2029,"Without_Earmarks",11579210.1945
2030,"Without_Earmarks",12049414.5564737
2031,"Without_Earmarks",12561740.4184474
2032,"Without_Earmarks",12735866.2804211
2033,"Without_Earmarks",10555067.2863947
2034,"Without_Earmarks",10856836.2133684
2035,"Without_Earmarks",10645172.0443421
2036,"Without_Earmarks",10506685.3843158
2037,"Without_Earmarks",10437290.4462895
2038,"Without_Earmarks",10639068.5287632
2039,"Without_Earmarks",11174048.4407368
2040,"Without_Earmarks",11601590.6437105
2041,"Without_Earmarks",11411162.4626842
2042,"Without_Earmarks",11225319.1146579
2043,"Without_Earmarks",10842279.8016316
2044,"Without_Earmarks",11154074.5496053
2045,"Without_Earmarks",11026106.452579
2046,"Without_Earmarks",11344463.2120526
2027,"With_Earmarks",10766882.9185
2028,"With_Earmarks",12123588.2945
2029,"With_Earmarks",11579210.1945
2030,"With_Earmarks",11899414.5564737
2031,"With_Earmarks",12261740.4184474
2032,"With_Earmarks",12285866.2804211
2033,"With_Earmarks",9955067.28639474
2034,"With_Earmarks",10106836.2133684
2035,"With_Earmarks",9745172.04434211
2036,"With_Earmarks",9456685.38431579
2037,"With_Earmarks",9237290.44628947
2038,"With_Earmarks",9289068.52876316
2039,"With_Earmarks",9674048.44073684
2040,"With_Earmarks",9951590.64371053
2041,"With_Earmarks",9611162.46268421
2042,"With_Earmarks",9275319.1146579
2043,"With_Earmarks",8742279.80163158
2044,"With_Earmarks",8904074.54960526
2045,"With_Earmarks",8626106.45257895
2046,"With_Earmarks",8794463.21205263
