"year","scenario","repayments"
2027,"Without_Earmarks",126170323.363405
2028,"Without_Earmarks",133433446.934885
2029,"Without_Earmarks",131533610.576462
2030,"Without_Earmarks",134753572.050647
2031,"Without_Earmarks",136697115.66338
2032,"Without_Earmarks",137676473.801789
2033,"Without_Earmarks",141460794.473599
2034,"Without_Earmarks",142987187.805041
2035,"Without_Earmarks",143466242.134729
2036,"Without_Earmarks",146680785.430809
2037,"Without_Earmarks",145818173.375979
2038,"Without_Earmarks",142318214.346356
2039,"Without_Earmarks",139625603.071129
2040,"Without_Earmarks",139846082.566848
2041,"Without_Earmarks",139909181.335527
2042,"Without_Earmarks",139801287.836452
2043,"Without_Earmarks",139185259.10415
2044,"Without_Earmarks",135142702.951597
2045,"Without_Earmarks",126088209.931583
2046,"Without_Earmarks",119377527.941826
2027,"With_Earmarks",126170323.363405
2028,"With_Earmarks",133433446.934885
2029,"With_Earmarks",131533610.576462
2030,"With_Earmarks",133295926.725816
2031,"With_Earmarks",133781825.013717
2032,"With_Earmarks",133303537.827294
2033,"With_Earmarks",135630213.174273
2034,"With_Earmarks",135698961.180883
2035,"With_Earmarks",134720370.18574
2036,"With_Earmarks",136477268.156988
2037,"With_Earmarks",134157010.777326
2038,"With_Earmarks",129199406.422873
2039,"With_Earmarks",125049149.822813
2040,"With_Earmarks",123811983.993701
2041,"With_Earmarks",122417437.437548
2042,"With_Earmarks",120851898.613642
2043,"With_Earmarks",118778224.556508
2044,"With_Earmarks",113278023.079124
2045,"With_Earmarks",102765884.734278
2046,"With_Earmarks",94597557.41969
