"year","scenario","repayments"
2027,"Without_Earmarks",160001625.427942
2028,"Without_Earmarks",174597401.732953
2029,"Without_Earmarks",171996800.63741
2030,"Without_Earmarks",171547527.629952
2031,"Without_Earmarks",169870968.227576
2032,"Without_Earmarks",169211226.669697
2033,"Without_Earmarks",173162866.338676
2034,"Without_Earmarks",174439646.825979
2035,"Without_Earmarks",173960752.98561
2036,"Without_Earmarks",178398155.00119
2037,"Without_Earmarks",180003007.472056
2038,"Without_Earmarks",181297002.557774
2039,"Without_Earmarks",175463097.915939
2040,"Without_Earmarks",179422250.340574
2041,"Without_Earmarks",179862905.955977
2042,"Without_Earmarks",180558526.505748
2043,"Without_Earmarks",174919346.352985
2044,"Without_Earmarks",164094660.570583
2045,"Without_Earmarks",161500715.312878
2046,"Without_Earmarks",156649864.80795
2027,"With_Earmarks",160001625.427942
2028,"With_Earmarks",174597401.732953
2029,"With_Earmarks",171996800.63741
2030,"With_Earmarks",171141688.962388
2031,"With_Earmarks",169059290.892447
2032,"With_Earmarks",167993710.667003
2033,"With_Earmarks",171539511.668417
2034,"With_Earmarks",172410453.488155
2035,"With_Earmarks",171525720.980221
2036,"With_Earmarks",175557284.328236
2037,"With_Earmarks",176756298.131537
2038,"With_Earmarks",177644454.549691
2039,"With_Earmarks",171404711.240291
2040,"With_Earmarks",174958024.997361
2041,"With_Earmarks",174992841.9452
2042,"With_Earmarks",175282623.827406
2043,"With_Earmarks",169237605.007078
2044,"With_Earmarks",158007080.557111
2045,"With_Earmarks",155007296.631841
2046,"With_Earmarks",149750607.459348
