"year","scenario","repayments"
2027,"Without_Earmarks",47127498.1048582
2028,"Without_Earmarks",50209946.9760586
2029,"Without_Earmarks",49130492.4581019
2030,"Without_Earmarks",50182411.4728801
2031,"Without_Earmarks",51137838.5767704
2032,"Without_Earmarks",51812823.0415768
2033,"Without_Earmarks",51724408.3560526
2034,"Without_Earmarks",51557374.6048524
2035,"Without_Earmarks",49991533.4101278
2036,"Without_Earmarks",49837535.7659736
2037,"Without_Earmarks",48153571.291145
2038,"Without_Earmarks",46517136.2980889
2039,"Without_Earmarks",46578473.1125761
2040,"Without_Earmarks",47455119.3205355
2041,"Without_Earmarks",47948152.1525199
2042,"Without_Earmarks",48670109.1823805
2043,"Without_Earmarks",47850914.2389941
2044,"Without_Earmarks",48379843.0258336
2045,"Without_Earmarks",49711084.9704731
2046,"Without_Earmarks",51770485.3042884
2027,"With_Earmarks",47127498.1048582
2028,"With_Earmarks",50209946.9760586
2029,"With_Earmarks",49130492.4581019
2030,"With_Earmarks",48907197.901562
2031,"With_Earmarks",48587411.4341341
2032,"With_Earmarks",47987182.3276222
2033,"With_Earmarks",46623554.0707798
2034,"With_Earmarks",45181306.7482614
2035,"With_Earmarks",42340251.9822186
2036,"With_Earmarks",40911040.7667463
2037,"With_Earmarks",37951862.7205995
2038,"With_Earmarks",35040214.1562252
2039,"With_Earmarks",33826337.3993942
2040,"With_Earmarks",33427770.0360354
2041,"With_Earmarks",32645589.2967017
2042,"With_Earmarks",32092332.7552441
2043,"With_Earmarks",29997924.2405395
2044,"With_Earmarks",29251639.4560608
2045,"With_Earmarks",29307667.8293821
2046,"With_Earmarks",30091854.5918792
