"year","scenario","repayments"
2027,"Without_Earmarks",20687335.680977
2028,"Without_Earmarks",21713793.8709346
2029,"Without_Earmarks",20698889.9453679
2030,"Without_Earmarks",21163169.4842274
2031,"Without_Earmarks",21114564.2468801
2032,"Without_Earmarks",21332539.0323208
2033,"Without_Earmarks",21103181.8255556
2034,"Without_Earmarks",22351551.9972217
2035,"Without_Earmarks",22946434.4773749
2036,"Without_Earmarks",22961167.6393239
2037,"Without_Earmarks",23046672.822809
2038,"Without_Earmarks",22178681.9436053
2039,"Without_Earmarks",22586651.2547635
2040,"Without_Earmarks",21954343.4095275
2041,"Without_Earmarks",22963114.9528818
2042,"Without_Earmarks",23312262.6531345
2043,"Without_Earmarks",22314149.958661
2044,"Without_Earmarks",22619778.2283745
2045,"Without_Earmarks",23291511.670903
2046,"Without_Earmarks",24539881.842569
2027,"With_Earmarks",20687335.680977
2028,"With_Earmarks",21713793.8709346
2029,"With_Earmarks",20698889.9453679
2030,"With_Earmarks",21163169.4842274
2031,"With_Earmarks",21114564.2468801
2032,"With_Earmarks",21332539.0323208
2033,"With_Earmarks",21103181.8255556
2034,"With_Earmarks",22351551.9972217
2035,"With_Earmarks",22946434.4773749
2036,"With_Earmarks",22961167.6393239
2037,"With_Earmarks",23046672.822809
2038,"With_Earmarks",22178681.9436053
2039,"With_Earmarks",22586651.2547635
2040,"With_Earmarks",21954343.4095275
2041,"With_Earmarks",22963114.9528818
2042,"With_Earmarks",23312262.6531345
2043,"With_Earmarks",22314149.958661
2044,"With_Earmarks",22619778.2283745
2045,"With_Earmarks",23291511.670903
2046,"With_Earmarks",24539881.842569
