State,20-Year Change in Funding,20-Year Net Impact,Loss-to-Gain Ratio
WV,$240.6 million,$141.8 million,0.59:1
NJ,$229.6 million,$38.2 million,0.17:1
AK,$188.9 million,$34.2 million,0.18:1
UT,$152.8 million,$31.7 million,0.21:1
OK,$222.8 million,$25.2 million,0.11:1
MS,$191.8 million,$25 million,0.13:1
MN,$169.5 million,$7.9 million,0.05:1
SC,$143.3 million,$-2.8 million,0.02:1
ME,$81.6 million,$-3.9 million,0.05:1
KY,$113.9 million,$-6.5 million,0.06:1
AR,$130.6 million,$-12.5 million,0.1:1
OR,$137.1 million,$-13.9 million,0.1:1
MI,$215.5 million,$-23.5 million,0.11:1
NV,$65 million,$-29.6 million,0.46:1
NE,$58.4 million,$-33.6 million,0.58:1
AZ,$99.9 million,$-43.4 million,0.43:1
OH,$156.2 million,$-44.1 million,0.28:1
CO,$64.1 million,$-54.5 million,0.85:1
CT,$5.5 million,$-55.9 million,10.12:1
WI,$64.7 million,$-63.4 million,0.98:1
NM,$-18.6 million,$-65.2 million,3.51:1
VT,$-29.5 million,$-67.8 million,2.3:1
HI,$-35 million,$-70.6 million,2.01:1
MO,$28.9 million,$-72.5 million,2.5:1
NY,$375.9 million,$-73.1 million,0.19:1
VA,$0.6 million,$-75 million,127.55:1
KS,$-11.3 million,$-75.6 million,6.67:1
LA,$18.2 million,$-78.5 million,4.32:1
NH,$-45.2 million,$-82.5 million,1.83:1
RI,$-53.7 million,$-87.7 million,1.63:1
ID,$-69.7 million,$-95 million,1.36:1
MA,$40.2 million,$-98.3 million,2.45:1
IL,$146.3 million,$-99.6 million,0.68:1
DE,$-106.7 million,$-114.7 million,1.08:1
MT,$-124.7 million,$-124.7 million,1:1
WY,$-124.7 million,$-124.7 million,1:1
ND,$-124.7 million,$-124.7 million,1:1
SD,$-124.7 million,$-124.7 million,1:1
WA,$-0.9 million,$-125.1 million,132.22:1
TN,$-63.5 million,$-126.7 million,1.99:1
AL,$-55.3 million,$-138.5 million,2.5:1
IA,$-131.7 million,$-157.8 million,1.2:1
MD,$-133.1 million,$-186 million,1.4:1
IN,$-205.3 million,$-210 million,1.02:1
GA,$-183.5 million,$-252.1 million,1.37:1
NC,$-176.9 million,$-252.8 million,1.43:1
PA,$-134.1 million,$-263.6 million,1.96:1
FL,$-167.2 million,$-299 million,1.79:1
CA,$-49.4 million,$-644.9 million,13.05:1
TX,$-808.9 million,$-892 million,1.1:1
