"state","total_earmarks_Baseline","total_earmarks_With Earmarks","total_repayments_Baseline","total_repayments_With Earmarks","total_cap_grants_Baseline","total_cap_grants_With Earmarks","earmark_amount","repayment_loss_amount","net_funding_change","net_financial_impact","loss_start","loss_end","funding_change_positive","funding_change_negative","impact_type"
"TX",0,184747650,3143777532.59479,3060614718.87701,1542316473.68421,733444904.896211,184747650,83162813.7177835,-808871568.788,-892034382.505783,-808871568.788,-892034382.505783,0,-808871568.788,"Negative Net Impact"
"CA",0,1296267030,5007125205.33518,4411639371.90835,1762929571.57895,1713528688.06295,1296267030,595485833.426837,-49400883.5159988,-644886716.942836,-49400883.5159988,-644886716.942836,0,-49400883.5159988,"Negative Net Impact"
"FL",0,283084240,2081165006.23687,1949353820.15432,708652826.315789,541445262.07179,283084240,131811186.082554,-167207564.244,-299018750.326554,-167207564.244,-299018750.326554,0,-167207564.244,"Negative Net Impact"
"PA",0,277475290,1957402253.62203,1827987602.00326,598216389.473684,464072994.153684,277475290,129414651.618765,-134143395.32,-263558046.938765,-134143395.32,-263558046.938765,0,-134143395.32,"Negative Net Impact"
"NC",0,167651360,1151706973.63103,1075899566.01993,556505308.421053,379559222.517053,167651360,75807407.6111031,-176946085.904,-252753493.515103,-176946085.904,-252753493.515103,0,-176946085.904,"Negative Net Impact"
"GA",0,154287810,997700792.234784,929078023.52318,469446421.052631,285931159.168631,154287810,68622768.7116038,-183515261.884,-252138030.595604,-183515261.884,-252138030.595604,0,-183515261.884,"Negative Net Impact"
"IN",0,9597520,2111253733.94132,2106543283.32056,309850614.736842,104565668.448842,9597520,4710450.6207583,-205284946.288,-209995396.908758,-205284946.288,-209995396.908758,0,-205284946.288,"Negative Net Impact"
"MD",0,126461720,516167904.287775,463352208.308059,287488166.315789,154349927.083789,126461720,52815695.9797165,-133138239.232,-185953935.211716,-133138239.232,-185953935.211716,0,-133138239.232,"Negative Net Impact"
"IA",0,5.5e+07,1307981325.50168,1281884879.06083,309635909.473684,177914688.873684,5.5e+07,26096446.4408462,-131721220.6,-157817667.040846,-131721220.6,-157817667.040846,0,-131721220.6,"Negative Net Impact"
"AL",0,165787520,895813205.752076,812625806.291765,306561052.631579,251211732.323579,165787520,83187399.4603108,-55349320.3079999,-138536719.768311,-55349320.3079999,-138536719.768311,0,-55349320.3079999,"Negative Net Impact"
"TN",0,145626240,384737921.814526,321623014.332583,238456631.578947,174907904.506947,145626240,63114907.4819431,-63548727.0719999,-126663634.553943,-63548727.0719999,-126663634.553943,0,-63548727.0719999,"Negative Net Impact"
"WA",0,284638200,981956809.446525,857802808.826181,432588420.989474,431642290.873474,284638200,124154000.620344,-946130.115999997,-125100130.736344,-946130.115999997,-125100130.736344,0,-946130.115999997,"Negative Net Impact"
