"year","scenario","repayments"
2027,"Without_Earmarks",27976885.3986286
2028,"Without_Earmarks",37000919.3715835
2029,"Without_Earmarks",35733821.9203364
2030,"Without_Earmarks",36487758.981318
2031,"Without_Earmarks",36129991.0291278
2032,"Without_Earmarks",36891141.226257
2033,"Without_Earmarks",35610235.9466735
2034,"Without_Earmarks",35340419.340462
2035,"Without_Earmarks",34345883.6433855
2036,"Without_Earmarks",35208763.523262
2037,"Without_Earmarks",36054019.7800607
2038,"Without_Earmarks",36815245.310965
2039,"Without_Earmarks",37966932.7707607
2040,"Without_Earmarks",38370449.249531
2041,"Without_Earmarks",39530640.3277156
2042,"Without_Earmarks",40228014.188351
2043,"Without_Earmarks",38510193.6950649
2044,"Without_Earmarks",36154585.7660683
2045,"Without_Earmarks",37003871.44405
2046,"Without_Earmarks",38194047.1810864
2027,"With_Earmarks",27976885.3986286
2028,"With_Earmarks",37000919.3715835
2029,"With_Earmarks",35733821.9203364
2030,"With_Earmarks",35476368.6373229
2031,"With_Earmarks",34107210.3411376
2032,"With_Earmarks",33856970.1942716
2033,"With_Earmarks",31564674.570693
2034,"With_Earmarks",30283467.6204864
2035,"With_Earmarks",28277541.5794147
2036,"With_Earmarks",28129031.1152961
2037,"With_Earmarks",27962897.0280997
2038,"With_Earmarks",27712732.2150089
2039,"With_Earmarks",27853029.3308095
2040,"With_Earmarks",27245155.4655847
2041,"With_Earmarks",27393956.1997741
2042,"With_Earmarks",27079939.7164144
2043,"With_Earmarks",24350728.8791331
2044,"With_Earmarks",20983730.6061415
2045,"With_Earmarks",20821625.940128
2046,"With_Earmarks",21000411.3331692
