"year","scenario","repayments"
2027,"Without_Earmarks",39966769.5735448
2028,"Without_Earmarks",41996243.3819238
2029,"Without_Earmarks",39366826.652062
2030,"Without_Earmarks",41102600.1383479
2031,"Without_Earmarks",41369735.0621306
2032,"Without_Earmarks",42183575.5525174
2033,"Without_Earmarks",43606391.1624613
2034,"Without_Earmarks",44022673.3338094
2035,"Without_Earmarks",45499692.8848828
2036,"Without_Earmarks",46369749.655756
2037,"Without_Earmarks",47727625.9397838
2038,"Without_Earmarks",49291245.9184892
2039,"Without_Earmarks",49715513.0476281
2040,"Without_Earmarks",50838338.1842103
2041,"Without_Earmarks",51000700.6110495
2042,"Without_Earmarks",49974859.8193378
2043,"Without_Earmarks",47111446.7590506
2044,"Without_Earmarks",43047397.9088817
2045,"Without_Earmarks",41652639.8704484
2046,"Without_Earmarks",39969180.2957601
2027,"With_Earmarks",39966769.5735448
2028,"With_Earmarks",41996243.3819238
2029,"With_Earmarks",39366826.652062
2030,"With_Earmarks",40558891.6451432
2031,"With_Earmarks",40282318.0757213
2032,"With_Earmarks",40552450.0729034
2033,"With_Earmarks",41431557.1896427
2034,"With_Earmarks",41304130.8677862
2035,"With_Earmarks",42237441.925655
2036,"With_Earmarks",42563790.2033235
2037,"With_Earmarks",43377957.9941466
2038,"With_Earmarks",44397869.4796474
2039,"With_Earmarks",44278428.1155817
2040,"With_Earmarks",44857544.7589592
2041,"With_Earmarks",44476198.6925937
2042,"With_Earmarks",42906649.4076774
2043,"With_Earmarks",39499527.8541856
2044,"With_Earmarks",34891770.510812
2045,"With_Earmarks",32953303.979174
2046,"With_Earmarks",30726135.9112812
