"year","scenario","repayments"
2027,"Without_Earmarks",78445872.2823172
2028,"Without_Earmarks",77908872.8567893
2029,"Without_Earmarks",75097898.1078984
2030,"Without_Earmarks",73728927.1432931
2031,"Without_Earmarks",68614468.0492693
2032,"Without_Earmarks",71294734.7264354
2033,"Without_Earmarks",67291262.4193912
2034,"Without_Earmarks",69753871.9244692
2035,"Without_Earmarks",71678428.2826527
2036,"Without_Earmarks",72975379.6608761
2037,"Without_Earmarks",74451213.7825922
2038,"Without_Earmarks",76278545.0524724
2039,"Without_Earmarks",79866957.6921944
2040,"Without_Earmarks",79576662.1045186
2041,"Without_Earmarks",83165074.7442406
2042,"Without_Earmarks",85580823.1699073
2043,"Without_Earmarks",77286886.7597559
2044,"Without_Earmarks",77035946.2042278
2045,"Without_Earmarks",75492403.975916
2046,"Without_Earmarks",73469807.7663095
2027,"With_Earmarks",78445872.2823172
2028,"With_Earmarks",77908872.8567893
2029,"With_Earmarks",75097898.1078984
2030,"With_Earmarks",72793783.1601628
2031,"With_Earmarks",66744180.0830088
2032,"With_Earmarks",68489302.7770446
2033,"With_Earmarks",63550686.4868702
2034,"With_Earmarks",65078152.0088179
2035,"With_Earmarks",66067564.3838712
2036,"With_Earmarks",66429371.7789644
2037,"With_Earmarks",66970061.9175502
2038,"With_Earmarks",67862249.2043001
2039,"With_Earmarks",70515517.8608919
2040,"With_Earmarks",69290078.2900859
2041,"With_Earmarks",71943346.9466776
2042,"With_Earmarks",73423951.3892141
2043,"With_Earmarks",64194870.9959324
2044,"With_Earmarks",63008786.457274
2045,"With_Earmarks",60530100.2458319
2046,"With_Earmarks",57572360.0530952
