"year","scenario","repayments"
2027,"Without_Earmarks",17640482.0428134
2028,"Without_Earmarks",16903582.03871
2029,"Without_Earmarks",16103546.3619063
2030,"Without_Earmarks",15773647.0945283
2031,"Without_Earmarks",15295023.3024239
2032,"Without_Earmarks",15292357.1038301
2033,"Without_Earmarks",13733355.5233528
2034,"Without_Earmarks",14102323.2719735
2035,"Without_Earmarks",13912667.863566
2036,"Without_Earmarks",14498850.7826311
2037,"Without_Earmarks",13445840.9606587
2038,"Without_Earmarks",13629176.4037778
2039,"Without_Earmarks",13842011.5647452
2040,"Without_Earmarks",14584211.9895387
2041,"Without_Earmarks",15053039.4563037
2042,"Without_Earmarks",14748256.306018
2043,"Without_Earmarks",15364529.857571
2044,"Without_Earmarks",15285378.5534055
2045,"Without_Earmarks",15480037.2433594
2046,"Without_Earmarks",16416661.00257
2027,"With_Earmarks",17640482.0428134
2028,"With_Earmarks",16903582.03871
2029,"With_Earmarks",16103546.3619063
2030,"With_Earmarks",14837023.3353176
2031,"With_Earmarks",13421775.7840025
2032,"With_Earmarks",12482485.826198
2033,"With_Earmarks",9986860.48651007
2034,"With_Earmarks",9419204.47592009
2035,"With_Earmarks",8292925.30830186
2036,"With_Earmarks",7942484.46815628
2037,"With_Earmarks",5952850.88697327
2038,"With_Earmarks",5199562.57088162
2039,"With_Earmarks",4475773.97263832
2040,"With_Earmarks",4281350.63822113
2041,"With_Earmarks",3813554.34577547
2042,"With_Earmarks",2572147.43627906
2043,"With_Earmarks",2251797.22862142
2044,"With_Earmarks",1236022.1652452
2045,"With_Earmarks",494057.095988404
2046,"With_Earmarks",494057.095988404
