"year","scenario","repayments"
2027,"Without_Earmarks",230544280.920665
2028,"Without_Earmarks",240545974.686106
2029,"Without_Earmarks",232754068.654318
2030,"Without_Earmarks",240376416.465966
2031,"Without_Earmarks",252345137.483936
2032,"Without_Earmarks",263930651.343548
2033,"Without_Earmarks",264913671.472189
2034,"Without_Earmarks",262748156.31382
2035,"Without_Earmarks",259672766.656358
2036,"Without_Earmarks",257862100.662042
2037,"Without_Earmarks",249696029.107928
2038,"Without_Earmarks",256509659.57892
2039,"Without_Earmarks",251911468.503272
2040,"Without_Earmarks",257529500.532063
2041,"Without_Earmarks",253634540.931858
2042,"Without_Earmarks",253177606.780876
2043,"Without_Earmarks",259946239.43948
2044,"Without_Earmarks",258824545.564241
2045,"Without_Earmarks",223848547.637441
2046,"Without_Earmarks",236353842.600156
2027,"With_Earmarks",230544280.920665
2028,"With_Earmarks",240545974.686106
2029,"With_Earmarks",232754068.654318
2030,"With_Earmarks",236484352.195203
2031,"With_Earmarks",244561008.942409
2032,"With_Earmarks",252254458.531257
2033,"With_Earmarks",249345414.389135
2034,"With_Earmarks",243287834.960002
2035,"With_Earmarks",236320381.031776
2036,"With_Earmarks",230617650.766696
2037,"With_Earmarks",218559514.941819
2038,"With_Earmarks",221481081.142047
2039,"With_Earmarks",212990825.795635
2040,"With_Earmarks",214716793.553663
2041,"With_Earmarks",206929769.682694
2042,"With_Earmarks",202580771.260949
2043,"With_Earmarks",205457339.648789
2044,"With_Earmarks",200443581.502787
2045,"With_Earmarks",161575519.305223
2046,"With_Earmarks",170188749.997174
