"year","scenario","repayments"
2027,"Without_Earmarks",35836400.8415526
2028,"Without_Earmarks",41796262.0505931
2029,"Without_Earmarks",40573731.7092685
2030,"Without_Earmarks",39147125.0376806
2031,"Without_Earmarks",39745975.4724485
2032,"Without_Earmarks",40175108.4076489
2033,"Without_Earmarks",39919277.2851789
2034,"Without_Earmarks",39543367.4913848
2035,"Without_Earmarks",40751063.7537637
2036,"Without_Earmarks",40910350.1016223
2037,"Without_Earmarks",39581464.9433184
2038,"Without_Earmarks",38902117.6543249
2039,"Without_Earmarks",40193615.7667038
2040,"Without_Earmarks",41387525.1160827
2041,"Without_Earmarks",38656395.4587644
2042,"Without_Earmarks",38319357.3058826
2043,"Without_Earmarks",37777199.8923331
2044,"Without_Earmarks",38125459.910712
2045,"Without_Earmarks",38812019.7670909
2046,"Without_Earmarks",37037917.8269699
2027,"With_Earmarks",35836400.8415526
2028,"With_Earmarks",41796262.0505931
2029,"With_Earmarks",40573731.7092685
2030,"With_Earmarks",38371804.5646173
2031,"With_Earmarks",38195334.526322
2032,"With_Earmarks",37849146.988459
2033,"With_Earmarks",36817995.3929258
2034,"With_Earmarks",35666765.1260684
2035,"With_Earmarks",36099140.915384
2036,"With_Earmarks",35483106.7901794
2037,"With_Earmarks",33378901.1588122
2038,"With_Earmarks",31924233.3967554
2039,"With_Earmarks",32440411.0360711
2040,"With_Earmarks",32858999.9123867
2041,"With_Earmarks",29352549.7820052
2042,"With_Earmarks",28240191.1560601
2043,"With_Earmarks",26922713.2694473
2044,"With_Earmarks",26495652.8147629
2045,"With_Earmarks",26406892.1980786
2046,"With_Earmarks",23857469.7848942
