"year","scenario","repayments"
2027,"Without_Earmarks",21552580.2376504
2028,"Without_Earmarks",23240639.496925
2029,"Without_Earmarks",21721838.1172857
2030,"Without_Earmarks",22648721.5214552
2031,"Without_Earmarks",23351953.1087278
2032,"Without_Earmarks",24256086.9539486
2033,"Without_Earmarks",24673539.4185658
2034,"Without_Earmarks",25657327.9330331
2035,"Without_Earmarks",26490787.941846
2036,"Without_Earmarks",25131362.160506
2037,"Without_Earmarks",24538899.7092733
2038,"Without_Earmarks",24067243.5071547
2039,"Without_Earmarks",23685707.8662704
2040,"Without_Earmarks",23507376.277898
2041,"Without_Earmarks",21827488.1658516
2042,"Without_Earmarks",21228955.7323789
2043,"Without_Earmarks",21515522.0278676
2044,"Without_Earmarks",20970198.4820603
2045,"Without_Earmarks",20978871.6672486
2046,"Without_Earmarks",21949028.4385345
2027,"With_Earmarks",21552580.2376504
2028,"With_Earmarks",23240639.496925
2029,"With_Earmarks",21721838.1172857
2030,"With_Earmarks",22246986.6950334
2031,"With_Earmarks",22548483.4558843
2032,"With_Earmarks",23050882.4746834
2033,"With_Earmarks",23066600.1128788
2034,"With_Earmarks",23648653.8009243
2035,"With_Earmarks",24080378.9833155
2036,"With_Earmarks",22319218.3755537
2037,"With_Earmarks",21325021.0978992
2038,"With_Earmarks",20451630.0693589
2039,"With_Earmarks",19668359.6020528
2040,"With_Earmarks",19088293.1872586
2041,"With_Earmarks",17006670.2487905
2042,"With_Earmarks",16006402.988896
2043,"With_Earmarks",15891234.457963
2044,"With_Earmarks",14944176.0857339
2045,"With_Earmarks",14551114.4445005
2046,"With_Earmarks",15119536.3893647
