"year","scenario","repayments"
2027,"Without_Earmarks",16907876.1326763
2028,"Without_Earmarks",17977327.0686698
2029,"Without_Earmarks",16814470.4286641
2030,"Without_Earmarks",16670819.861691
2031,"Without_Earmarks",17009640.3526409
2032,"Without_Earmarks",15088438.0727927
2033,"Without_Earmarks",15082795.7391892
2034,"Without_Earmarks",15136783.0369496
2035,"Without_Earmarks",14975557.0131268
2036,"Without_Earmarks",15335515.8796859
2037,"Without_Earmarks",15649489.5954933
2038,"Without_Earmarks",15915629.9116888
2039,"Without_Earmarks",16324104.1990292
2040,"Without_Earmarks",16411398.4473282
2041,"Without_Earmarks",16759004.8270179
2042,"Without_Earmarks",16371804.128183
2043,"Without_Earmarks",16261434.0212504
2044,"Without_Earmarks",16443392.1658548
2045,"Without_Earmarks",15737151.980934
2046,"Without_Earmarks",14779432.0144453
2027,"With_Earmarks",16907876.1326763
2028,"With_Earmarks",17977327.0686698
2029,"With_Earmarks",16814470.4286641
2030,"With_Earmarks",16618238.0925466
2031,"With_Earmarks",16904476.8143521
2032,"With_Earmarks",14930692.7653594
2033,"With_Earmarks",14872468.6626115
2034,"With_Earmarks",14873874.1912275
2035,"With_Earmarks",14660066.3982602
2036,"With_Earmarks",14967443.4956749
2037,"With_Earmarks",15228835.4423379
2038,"With_Earmarks",15442393.989389
2039,"With_Earmarks",15798286.5075849
2040,"With_Earmarks",15832998.9867395
2041,"With_Earmarks",16128023.5972848
2042,"With_Earmarks",15688241.1293054
2043,"With_Earmarks",15525289.2532284
2044,"With_Earmarks",15654665.6286884
2045,"With_Earmarks",14895843.6746232
2046,"With_Earmarks",13885541.93899
