"year","scenario","repayments"
2027,"Without_Earmarks",91817296.8714156
2028,"Without_Earmarks",103890313.959861
2029,"Without_Earmarks",101606998.645157
2030,"Without_Earmarks",103784301.221627
2031,"Without_Earmarks",104228962.670659
2032,"Without_Earmarks",105447802.350538
2033,"Without_Earmarks",105305544.912551
2034,"Without_Earmarks",107854216.116579
2035,"Without_Earmarks",106878435.163541
2036,"Without_Earmarks",107491277.122466
2037,"Without_Earmarks",109314168.11635
2038,"Without_Earmarks",113393152.028333
2039,"Without_Earmarks",109927795.82599
2040,"Without_Earmarks",105772934.299125
2041,"Without_Earmarks",107646756.587592
2042,"Without_Earmarks",104001341.029486
2043,"Without_Earmarks",100387753.848112
2044,"Without_Earmarks",99760996.8700509
2045,"Without_Earmarks",96801469.0907254
2046,"Without_Earmarks",95853489.5067149
2027,"With_Earmarks",91817296.8714156
2028,"With_Earmarks",103890313.959861
2029,"With_Earmarks",101606998.645157
2030,"With_Earmarks",102922790.20148
2031,"With_Earmarks",102505940.630364
2032,"With_Earmarks",102863269.290095
2033,"With_Earmarks",101859500.831961
2034,"With_Earmarks",103546661.015841
2035,"With_Earmarks",101709369.042656
2036,"With_Earmarks",101460699.981434
2037,"With_Earmarks",102422079.95517
2038,"With_Earmarks",105639552.847006
2039,"With_Earmarks",101312685.624515
2040,"With_Earmarks",96296313.0775039
2041,"With_Earmarks",97308624.3458235
2042,"With_Earmarks",92801697.7675695
2043,"With_Earmarks",88326599.5660486
2044,"With_Earmarks",86838331.5678396
2045,"With_Earmarks",83017292.7683667
2046,"With_Earmarks",81207802.1642088
