"year","scenario","repayments"
2027,"Without_Earmarks",45896068.934386
2028,"Without_Earmarks",46903549.3456436
2029,"Without_Earmarks",45840985.0863116
2030,"Without_Earmarks",46324969.4418318
2031,"Without_Earmarks",47715394.6525985
2032,"Without_Earmarks",49564033.6700755
2033,"Without_Earmarks",50271468.7236981
2034,"Without_Earmarks",50816107.6519347
2035,"Without_Earmarks",52365918.1405313
2036,"Without_Earmarks",52476560.7761676
2037,"Without_Earmarks",53174063.9497414
2038,"Without_Earmarks",53944138.3724605
2039,"Without_Earmarks",55148826.0217546
2040,"Without_Earmarks",54926244.9609038
2041,"Without_Earmarks",54521426.4319271
2042,"Without_Earmarks",51745274.83035
2043,"Without_Earmarks",50716354.4257949
2044,"Without_Earmarks",44937783.4717718
2045,"Without_Earmarks",46581337.9737487
2046,"Without_Earmarks",43830285.3731517
2027,"With_Earmarks",45896068.934386
2028,"With_Earmarks",46903549.3456436
2029,"With_Earmarks",45840985.0863116
2030,"With_Earmarks",45876454.6136514
2031,"With_Earmarks",46818364.9962377
2032,"With_Earmarks",48218489.1855342
2033,"With_Earmarks",48477409.4109765
2034,"With_Earmarks",48573533.5110326
2035,"With_Earmarks",49674829.1714488
2036,"With_Earmarks",49336956.9789046
2037,"With_Earmarks",49585945.3242981
2038,"With_Earmarks",49907504.9188368
2039,"With_Earmarks",50663677.7399504
2040,"With_Earmarks",49992581.8509193
2041,"With_Earmarks",49139248.4937621
2042,"With_Earmarks",45914582.0640046
2043,"With_Earmarks",44437146.8312691
2044,"With_Earmarks",38210061.0490656
2045,"With_Earmarks",39405100.7228621
2046,"With_Earmarks",36205533.2940846
