"year","scenario","repayments"
2027,"Without_Earmarks",21978481.3155327
2028,"Without_Earmarks",22682243.3198848
2029,"Without_Earmarks",21076574.951217
2030,"Without_Earmarks",21262202.0643775
2031,"Without_Earmarks",21984417.7308144
2032,"Without_Earmarks",22127635.5629336
2033,"Without_Earmarks",22587777.9239123
2034,"Without_Earmarks",23626298.9675802
2035,"Without_Earmarks",24431416.175275
2036,"Without_Earmarks",24247630.1213451
2037,"Without_Earmarks",23773283.5976936
2038,"Without_Earmarks",22609171.3044785
2039,"Without_Earmarks",21054967.242465
2040,"Without_Earmarks",19883646.0332603
2041,"Without_Earmarks",20452123.3873274
2042,"Without_Earmarks",20279882.9444022
2043,"Without_Earmarks",20595048.8971344
2044,"Without_Earmarks",20236326.4867568
2045,"Without_Earmarks",20207362.5188221
2046,"Without_Earmarks",19517143.2195405
2027,"With_Earmarks",21978481.3155327
2028,"With_Earmarks",22682243.3198848
2029,"With_Earmarks",21076574.951217
2030,"With_Earmarks",21029728.8577221
2031,"With_Earmarks",21519471.3175036
2032,"With_Earmarks",21430215.9429675
2033,"With_Earmarks",21657885.0972908
2034,"With_Earmarks",22463932.9343033
2035,"With_Earmarks",23036576.9353428
2036,"With_Earmarks",22620317.6747575
2037,"With_Earmarks",21913497.9444506
2038,"With_Earmarks",20516912.4445802
2039,"With_Earmarks",18730235.1759113
2040,"With_Earmarks",17326440.7600513
2041,"With_Earmarks",17662444.9074629
2042,"With_Earmarks",17257731.2578824
2043,"With_Earmarks",17340424.0039592
2044,"With_Earmarks",16749228.3869263
2045,"With_Earmarks",16487791.2123362
2046,"With_Earmarks",15565098.7063992
