"year","scenario","repayments"
2027,"Without_Earmarks",65447472.1729014
2028,"Without_Earmarks",69491334.3538098
2029,"Without_Earmarks",68252971.6496005
2030,"Without_Earmarks",68868903.6650503
2031,"Without_Earmarks",67484215.2607598
2032,"Without_Earmarks",66944559.0355131
2033,"Without_Earmarks",64070016.7564258
2034,"Without_Earmarks",63985133.7258764
2035,"Without_Earmarks",63570864.7478135
2036,"Without_Earmarks",64883612.7507354
2037,"Without_Earmarks",66028536.4443418
2038,"Without_Earmarks",63800780.8247454
2039,"Without_Earmarks",65037656.9599221
2040,"Without_Earmarks",64671733.9137725
2041,"Without_Earmarks",65353432.4067722
2042,"Without_Earmarks",65261319.2508749
2043,"Without_Earmarks",63042861.9901271
2044,"Without_Earmarks",64334156.0541695
2045,"Without_Earmarks",64622424.0340428
2046,"Without_Earmarks",62829339.5044232
2027,"With_Earmarks",65447472.1729014
2028,"With_Earmarks",69491334.3538098
2029,"With_Earmarks",68252971.6496005
2030,"With_Earmarks",68698338.655633
2031,"With_Earmarks",67143085.2419252
2032,"With_Earmarks",66432864.0072612
2033,"With_Earmarks",63387756.7187566
2034,"With_Earmarks",63132308.6787899
2035,"With_Earmarks",62547474.6913098
2036,"With_Earmarks",63689657.6848143
2037,"With_Earmarks",64664016.3690034
2038,"With_Earmarks",62265695.7399897
2039,"With_Earmarks",63332006.8657491
2040,"With_Earmarks",62795518.8101823
2041,"With_Earmarks",63306652.2937646
2042,"With_Earmarks",63043974.1284501
2043,"With_Earmarks",60654951.858285
2044,"With_Earmarks",61775680.91291
2045,"With_Earmarks",61893383.883366
2046,"With_Earmarks",59929734.3443291
