"year","scenario","repayments"
2027,"Without_Earmarks",17417301.8515675
2028,"Without_Earmarks",18414458.1755202
2029,"Without_Earmarks",17712106.552624
2030,"Without_Earmarks",17593371.9414405
2031,"Without_Earmarks",16247196.7145497
2032,"Without_Earmarks",16713329.747274
2033,"Without_Earmarks",16597952.483128
2034,"Without_Earmarks",16715222.4393228
2035,"Without_Earmarks",17144296.4578357
2036,"Without_Earmarks",17675205.6920301
2037,"Without_Earmarks",17810082.8662916
2038,"Without_Earmarks",18101930.2049924
2039,"Without_Earmarks",18278602.1847095
2040,"Without_Earmarks",18915057.470526
2041,"Without_Earmarks",18634073.1302211
2042,"Without_Earmarks",19315771.0834277
2043,"Without_Earmarks",16573555.5804512
2044,"Without_Earmarks",16492748.9108151
2045,"Without_Earmarks",16986081.262332
2046,"Without_Earmarks",17003399.4582299
2027,"With_Earmarks",17417301.8515675
2028,"With_Earmarks",18414458.1755202
2029,"With_Earmarks",17712106.552624
2030,"With_Earmarks",17428219.1120791
2031,"With_Earmarks",15916891.0558269
2032,"With_Earmarks",16217871.2591899
2033,"With_Earmarks",15937341.1656826
2034,"With_Earmarks",15889458.2925159
2035,"With_Earmarks",16153379.4816675
2036,"With_Earmarks",16519135.8865005
2037,"With_Earmarks",16488860.2314006
2038,"With_Earmarks",16615554.7407401
2039,"With_Earmarks",16627073.8910958
2040,"With_Earmarks",17098376.3475509
2041,"With_Earmarks",16652239.1778846
2042,"With_Earmarks",17168784.3017299
2043,"With_Earmarks",14261415.9693921
2044,"With_Earmarks",14015456.4703946
2045,"With_Earmarks",14343635.9925501
2046,"With_Earmarks",14195801.3590866
