"year","scenario","repayments"
2027,"Without_Earmarks",164102973.773161
2028,"Without_Earmarks",183636405.342903
2029,"Without_Earmarks",179714265.494084
2030,"Without_Earmarks",184393086.351846
2031,"Without_Earmarks",187962289.538945
2032,"Without_Earmarks",193439976.486285
2033,"Without_Earmarks",194820092.862193
2034,"Without_Earmarks",199847873.157356
2035,"Without_Earmarks",203080704.632689
2036,"Without_Earmarks",206997295.222517
2037,"Without_Earmarks",205210154.83047
2038,"Without_Earmarks",204172103.141649
2039,"Without_Earmarks",196640407.430313
2040,"Without_Earmarks",188818402.499755
2041,"Without_Earmarks",176589632.470728
2042,"Without_Earmarks",171476335.54134
2043,"Without_Earmarks",170141499.3252
2044,"Without_Earmarks",170362361.940379
2045,"Without_Earmarks",170575023.078287
2046,"Without_Earmarks",163894222.967573
2027,"With_Earmarks",164102973.773161
2028,"With_Earmarks",183636405.342903
2029,"With_Earmarks",179714265.494084
2030,"With_Earmarks",182785991.719816
2031,"With_Earmarks",184748100.274885
2032,"With_Earmarks",188618692.590196
2033,"With_Earmarks",188391714.334073
2034,"With_Earmarks",191812399.997207
2035,"With_Earmarks",193438136.84051
2036,"With_Earmarks",195747632.798309
2037,"With_Earmarks",192353397.774231
2038,"With_Earmarks",189708251.453381
2039,"With_Earmarks",180569461.110014
2040,"With_Earmarks",171140361.547427
2041,"With_Earmarks",157304496.88637
2042,"With_Earmarks",150584105.324952
2043,"With_Earmarks",147642174.476782
2044,"With_Earmarks",146255942.459932
2045,"With_Earmarks",144861508.96581
2046,"With_Earmarks",136573614.223066
