"year","scenario","repayments"
2027,"Without_Earmarks",78172728.6121657
2028,"Without_Earmarks",106927421.319945
2029,"Without_Earmarks",104715038.923947
2030,"Without_Earmarks",103586543.020968
2031,"Without_Earmarks",105323970.687639
2032,"Without_Earmarks",107101634.479639
2033,"Without_Earmarks",106402701.035771
2034,"Without_Earmarks",107467743.103596
2035,"Without_Earmarks",106674235.500906
2036,"Without_Earmarks",107813829.552259
2037,"Without_Earmarks",110274373.164225
2038,"Without_Earmarks",112088182.266819
2039,"Without_Earmarks",112966355.52037
2040,"Without_Earmarks",114769449.320756
2041,"Without_Earmarks",115333346.819419
2042,"Without_Earmarks",107694436.712625
2043,"Without_Earmarks",104235810.773735
2044,"Without_Earmarks",103996080.133661
2045,"Without_Earmarks",100500337.160199
2046,"Without_Earmarks",95209515.832674
2027,"With_Earmarks",78172728.6121657
2028,"With_Earmarks",106927421.319945
2029,"With_Earmarks",104715038.923947
2030,"With_Earmarks",103555755.762009
2031,"With_Earmarks",105262396.16972
2032,"With_Earmarks",107009272.702762
2033,"With_Earmarks",106279551.999934
2034,"With_Earmarks",107313806.8088
2035,"With_Earmarks",106489511.94715
2036,"With_Earmarks",107598318.739544
2037,"With_Earmarks",110028075.092551
2038,"With_Earmarks",111811096.936187
2039,"With_Earmarks",112658482.930778
2040,"With_Earmarks",114430789.472205
2041,"With_Earmarks",114963899.711909
2042,"With_Earmarks",107294202.346155
2043,"With_Earmarks",103804789.148306
2044,"With_Earmarks",103534271.249272
2045,"With_Earmarks",100007741.016852
2046,"With_Earmarks",94686132.4303675
