"year","scenario","repayments"
2027,"Without_Earmarks",66164791.1969688
2028,"Without_Earmarks",70776715.059797
2029,"Without_Earmarks",68104465.0987307
2030,"Without_Earmarks",68349653.6043961
2031,"Without_Earmarks",68918119.8079369
2032,"Without_Earmarks",70597449.1329571
2033,"Without_Earmarks",72269302.0793042
2034,"Without_Earmarks",75450896.5132825
2035,"Without_Earmarks",76914829.7945462
2036,"Without_Earmarks",77951036.4358702
2037,"Without_Earmarks",78358316.8673884
2038,"Without_Earmarks",80154651.7492704
2039,"Without_Earmarks",80773611.7226636
2040,"Without_Earmarks",83235505.7333941
2041,"Without_Earmarks",85181022.6474759
2042,"Without_Earmarks",85025752.3411215
2043,"Without_Earmarks",85024422.7882718
2044,"Without_Earmarks",80501222.1970995
2045,"Without_Earmarks",74369040.7207913
2046,"Without_Earmarks",69518383.2184178
2027,"With_Earmarks",66164791.1969688
2028,"With_Earmarks",70776715.059797
2029,"With_Earmarks",68104465.0987307
2030,"With_Earmarks",67929700.2398215
2031,"With_Earmarks",68078213.0787877
2032,"With_Earmarks",69337589.0392333
2033,"With_Earmarks",70589488.6210059
2034,"With_Earmarks",73351129.6904096
2035,"With_Earmarks",74395109.6070987
2036,"With_Earmarks",75011362.8838482
2037,"With_Earmarks",74998689.9507917
2038,"With_Earmarks",76375071.4680992
2039,"With_Earmarks",76574078.0769178
2040,"With_Earmarks",78616018.7230737
2041,"With_Earmarks",80141582.2725809
2042,"With_Earmarks",79566358.6016519
2043,"With_Earmarks",79145075.6842277
2044,"With_Earmarks",74201921.7284808
2045,"With_Earmarks",67649786.887598
2046,"With_Earmarks",62379176.0206499
