"year","scenario","repayments"
2027,"Without_Earmarks",24298526.89876
2028,"Without_Earmarks",27431485.2940319
2029,"Without_Earmarks",26701622.9959052
2030,"Without_Earmarks",27216020.8965892
2031,"Without_Earmarks",27614911.1975603
2032,"Without_Earmarks",27624275.9872059
2033,"Without_Earmarks",26269590.2790425
2034,"Without_Earmarks",27595478.9353836
2035,"Without_Earmarks",27665417.1796759
2036,"Without_Earmarks",28074526.5141892
2037,"Without_Earmarks",27647194.3904024
2038,"Without_Earmarks",27822660.8533928
2039,"Without_Earmarks",27373262.9856867
2040,"Without_Earmarks",27287493.3174304
2041,"Without_Earmarks",27548448.0337755
2042,"Without_Earmarks",26805754.8728575
2043,"Without_Earmarks",27307113.4913326
2044,"Without_Earmarks",27990107.4601119
2045,"Without_Earmarks",25262041.0505701
2046,"Without_Earmarks",26587929.7069112
2027,"With_Earmarks",24298526.89876
2028,"With_Earmarks",27431485.2940319
2029,"With_Earmarks",26701622.9959052
2030,"With_Earmarks",26429387.2001338
2031,"With_Earmarks",26041643.8046495
2032,"With_Earmarks",25264374.8978397
2033,"With_Earmarks",23123055.4932209
2034,"With_Earmarks",23662310.4531065
2035,"With_Earmarks",22945615.0009435
2036,"With_Earmarks",22568090.6390013
2037,"With_Earmarks",21354124.8187591
2038,"With_Earmarks",20742957.5852941
2039,"With_Earmarks",19506926.0211326
2040,"With_Earmarks",18634522.6564208
2041,"With_Earmarks",18108843.6763105
2042,"With_Earmarks",16579516.8189371
2043,"With_Earmarks",16294241.7409568
2044,"With_Earmarks",16190602.0132807
2045,"With_Earmarks",12675901.9072835
2046,"With_Earmarks",13215156.8671692
