"year","scenario","repayments"
2027,"Without_Earmarks",27716780.7363285
2028,"Without_Earmarks",31648271.2539933
2029,"Without_Earmarks",31017883.121356
2030,"Without_Earmarks",31127516.3018961
2031,"Without_Earmarks",32170123.9187395
2032,"Without_Earmarks",33162090.3555943
2033,"Without_Earmarks",29847349.533833
2034,"Without_Earmarks",30898285.8353636
2035,"Without_Earmarks",30777709.0989015
2036,"Without_Earmarks",30308682.9123084
2037,"Without_Earmarks",30542246.8336397
2038,"Without_Earmarks",29996059.9798395
2039,"Without_Earmarks",30695224.5554122
2040,"Without_Earmarks",30336978.0783626
2041,"Without_Earmarks",30352610.530352
2042,"Without_Earmarks",29816385.5374462
2043,"Without_Earmarks",29417011.0785619
2044,"Without_Earmarks",28929246.0283903
2045,"Without_Earmarks",29029647.5796629
2046,"Without_Earmarks",27945838.2620709
2027,"With_Earmarks",27716780.7363285
2028,"With_Earmarks",31648271.2539933
2029,"With_Earmarks",31017883.121356
2030,"With_Earmarks",30495816.5718311
2031,"With_Earmarks",30906724.4586094
2032,"With_Earmarks",31266991.1653991
2033,"With_Earmarks",27320550.6135728
2034,"With_Earmarks",27739787.1850384
2035,"With_Earmarks",26987510.7185112
2036,"With_Earmarks",25886784.801853
2037,"With_Earmarks",25488648.9931193
2038,"With_Earmarks",24310762.4092542
2039,"With_Earmarks",24378227.2547618
2040,"With_Earmarks",23388281.0476471
2041,"With_Earmarks",22772213.7695715
2042,"With_Earmarks",21604289.0466006
2043,"With_Earmarks",20573214.8576512
2044,"With_Earmarks",19453750.0774147
2045,"With_Earmarks",18922451.8986222
2046,"With_Earmarks",17206942.8509651
