"year","scenario","repayments"
2027,"Without_Earmarks",122455500.996432
2028,"Without_Earmarks",140214647.344592
2029,"Without_Earmarks",133721654.614215
2030,"Without_Earmarks",132372310.655558
2031,"Without_Earmarks",130159052.14813
2032,"Without_Earmarks",132723851.218499
2033,"Without_Earmarks",129117193.292204
2034,"Without_Earmarks",131830947.866881
2035,"Without_Earmarks",130747878.475632
2036,"Without_Earmarks",134747468.154603
2037,"Without_Earmarks",133398334.626448
2038,"Without_Earmarks",133315168.953451
2039,"Without_Earmarks",136466338.538161
2040,"Without_Earmarks",135392812.071964
2041,"Without_Earmarks",133171437.639943
2042,"Without_Earmarks",134945655.851952
2043,"Without_Earmarks",134646434.109515
2044,"Without_Earmarks",132635493.153915
2045,"Without_Earmarks",131722273.11198
2046,"Without_Earmarks",130408765.743383
2027,"With_Earmarks",122455500.996432
2028,"With_Earmarks",140214647.344592
2029,"With_Earmarks",133721654.614215
2030,"With_Earmarks",131466847.064468
2031,"With_Earmarks",128348124.965949
2032,"With_Earmarks",130007460.445228
2033,"With_Earmarks",125495338.927842
2034,"With_Earmarks",127303629.911429
2035,"With_Earmarks",125315096.92909
2036,"With_Earmarks",128409223.01697
2037,"With_Earmarks",126154625.897725
2038,"With_Earmarks",125165996.633638
2039,"With_Earmarks",127411702.627257
2040,"With_Earmarks",125432712.569969
2041,"With_Earmarks",122305874.546859
2042,"With_Earmarks",123174629.167777
2043,"With_Earmarks",121969943.834249
2044,"With_Earmarks",119053539.287559
2045,"With_Earmarks",117234855.654534
2046,"With_Earmarks",115015884.694846
