"year","scenario","repayments"
2027,"Without_Earmarks",25834502.8676057
2028,"Without_Earmarks",25647316.8719593
2029,"Without_Earmarks",25575314.1219593
2030,"Without_Earmarks",25083260.8244311
2031,"Without_Earmarks",25063492.6941088
2032,"Without_Earmarks",26014676.0792514
2033,"Without_Earmarks",26285582.4721648
2034,"Without_Earmarks",27588548.6898777
2035,"Without_Earmarks",27083948.8138122
2036,"Without_Earmarks",26223049.6564513
2037,"Without_Earmarks",27022659.8404922
2038,"Without_Earmarks",28352405.086071
2039,"Without_Earmarks",29518334.6917103
2040,"Without_Earmarks",26195196.9462638
2041,"Without_Earmarks",24403543.6618876
2042,"Without_Earmarks",25010869.7728184
2043,"Without_Earmarks",26352166.8568506
2044,"Without_Earmarks",21929938.3315426
2045,"Without_Earmarks",22803380.0328019
2046,"Without_Earmarks",24179715.9757153
2027,"With_Earmarks",25834502.8676057
2028,"With_Earmarks",25647316.8719593
2029,"With_Earmarks",25575314.1219593
2030,"With_Earmarks",24738060.1971127
2031,"With_Earmarks",24373091.439472
2032,"With_Earmarks",24979074.1972962
2033,"With_Earmarks",24904779.9628912
2034,"With_Earmarks",25862545.5532857
2035,"With_Earmarks",25012745.0499018
2036,"With_Earmarks",23806645.2652225
2037,"With_Earmarks",24261054.8219449
2038,"With_Earmarks",25245599.4402053
2039,"With_Earmarks",26066328.4185262
2040,"With_Earmarks",22397990.0457613
2041,"With_Earmarks",20261136.1340667
2042,"With_Earmarks",20523261.6176791
2043,"With_Earmarks",21519358.0743929
2044,"With_Earmarks",16751928.9217664
2045,"With_Earmarks",17280169.9957074
2046,"With_Earmarks",18311305.3113024
