"year","scenario","repayments"
2027,"Without_Earmarks",14961282.6934722
2028,"Without_Earmarks",14309128.6456996
2029,"Without_Earmarks",13747522.1842614
2030,"Without_Earmarks",14191460.2289433
2031,"Without_Earmarks",14166850.8758503
2032,"Without_Earmarks",13502230.8470129
2033,"Without_Earmarks",13488623.5678647
2034,"Without_Earmarks",13724061.8181862
2035,"Without_Earmarks",13774131.68845
2036,"Without_Earmarks",13983579.684506
2037,"Without_Earmarks",14180960.5787988
2038,"Without_Earmarks",14119006.7199995
2039,"Without_Earmarks",13971356.636343
2040,"Without_Earmarks",13734356.2723783
2041,"Without_Earmarks",13652765.5456008
2042,"Without_Earmarks",13220171.5836324
2043,"Without_Earmarks",13126806.9119727
2044,"Without_Earmarks",12240689.4013422
2045,"Without_Earmarks",12421917.6006201
2046,"Without_Earmarks",11617452.6018206
2027,"With_Earmarks",14961282.6934722
2028,"With_Earmarks",14309128.6456996
2029,"With_Earmarks",13747522.1842614
2030,"With_Earmarks",13632464.1492991
2031,"With_Earmarks",13048858.7165618
2032,"With_Earmarks",11825242.6080801
2033,"With_Earmarks",11252639.2492877
2034,"With_Earmarks",10929081.419965
2035,"With_Earmarks",10420155.2105846
2036,"With_Earmarks",10070607.1269963
2037,"With_Earmarks",9708991.94164487
2038,"With_Earmarks",9088042.00320141
2039,"With_Earmarks",8381395.83990062
2040,"With_Earmarks",7585399.39629172
2041,"With_Earmarks",6944812.58987
2042,"With_Earmarks",5953222.54825733
2043,"With_Earmarks",5300861.79695334
2044,"With_Earmarks",3855748.20667868
2045,"With_Earmarks",3477980.32631229
2046,"With_Earmarks",2114519.24786856
