"year","scenario","repayments"
2027,"Without_Earmarks",77290064.1898753
2028,"Without_Earmarks",87030023.9752706
2029,"Without_Earmarks",83805813.8475962
2030,"Without_Earmarks",84816655.8357868
2031,"Without_Earmarks",84474702.7373904
2032,"Without_Earmarks",85867187.5968734
2033,"Without_Earmarks",85613389.7036501
2034,"Without_Earmarks",88114724.0755867
2035,"Without_Earmarks",90064301.8590426
2036,"Without_Earmarks",92032716.0051474
2037,"Without_Earmarks",92938867.9002215
2038,"Without_Earmarks",92724064.5975259
2039,"Without_Earmarks",95356544.2460681
2040,"Without_Earmarks",96963395.3388847
2041,"Without_Earmarks",100067248.53848
2042,"Without_Earmarks",101969636.301622
2043,"Without_Earmarks",99606748.9949764
2044,"Without_Earmarks",94431545.6341179
2045,"Without_Earmarks",84602955.0061933
2046,"Without_Earmarks",80636232.4530614
2027,"With_Earmarks",77290064.1898753
2028,"With_Earmarks",87030023.9752706
2029,"With_Earmarks",83805813.8475962
2030,"With_Earmarks",83254685.9715441
2031,"With_Earmarks",81350763.0089051
2032,"With_Earmarks",81181278.0041454
2033,"With_Earmarks",79365510.2466794
2034,"With_Earmarks",80304874.7543734
2035,"With_Earmarks",80692482.6735867
2036,"With_Earmarks",81098926.9554487
2037,"With_Earmarks",80443108.9862802
2038,"With_Earmarks",78666335.819342
2039,"With_Earmarks",79736845.6036415
2040,"With_Earmarks",79781726.8322154
2041,"With_Earmarks",81323610.1675678
2042,"With_Earmarks",81664028.0664671
2043,"With_Earmarks",77739170.8955791
2044,"With_Earmarks",71001997.6704778
2045,"With_Earmarks",59611437.1783106
2046,"With_Earmarks",54082744.760936
