"year","scenario","repayments"
2027,"Without_Earmarks",56166955.3264877
2028,"Without_Earmarks",62519497.7367937
2029,"Without_Earmarks",61304999.1309842
2030,"Without_Earmarks",59098615.7280172
2031,"Without_Earmarks",60789059.3338613
2032,"Without_Earmarks",62326934.4897459
2033,"Without_Earmarks",60054942.1595741
2034,"Without_Earmarks",58569401.3953898
2035,"Without_Earmarks",59451530.4259024
2036,"Without_Earmarks",62315531.8441111
2037,"Without_Earmarks",64047996.7708547
2038,"Without_Earmarks",63886043.7319147
2039,"Without_Earmarks",64593423.8732502
2040,"Without_Earmarks",65506105.9982338
2041,"Without_Earmarks",65663404.8434842
2042,"Without_Earmarks",64548370.0127161
2043,"Without_Earmarks",66218896.4636503
2044,"Without_Earmarks",63340286.0232091
2045,"Without_Earmarks",61806174.5235353
2046,"Without_Earmarks",64911704.3436803
2027,"With_Earmarks",56166955.3264877
2028,"With_Earmarks",62519497.7367937
2029,"With_Earmarks",61304999.1309842
2030,"With_Earmarks",58042497.956831
2031,"With_Earmarks",58676823.7914888
2032,"With_Earmarks",59158581.1761872
2033,"With_Earmarks",55830471.0748292
2034,"With_Earmarks",53288812.5394587
2035,"With_Earmarks",53114823.798785
2036,"With_Earmarks",54922707.4458075
2037,"With_Earmarks",55599054.6013649
2038,"With_Earmarks",54380983.7912387
2039,"With_Earmarks",54032246.161388
2040,"With_Earmarks",53888810.5151853
2041,"With_Earmarks",52989991.5892495
2042,"With_Earmarks",50818838.9872952
2043,"With_Earmarks",51433247.6670432
2044,"With_Earmarks",47498519.4554157
2045,"With_Earmarks",44908290.1845557
2046,"With_Earmarks",46957702.2335145
