"year","scenario","repayments"
2027,"Without_Earmarks",17092529.6649245
2028,"Without_Earmarks",16444052.5250743
2029,"Without_Earmarks",14609384.1029597
2030,"Without_Earmarks",14788709.8944991
2031,"Without_Earmarks",15516257.0299026
2032,"Without_Earmarks",15696250.4409951
2033,"Without_Earmarks",15265005.919588
2034,"Without_Earmarks",16097175.9802218
2035,"Without_Earmarks",16367586.1215332
2036,"Without_Earmarks",16948379.8477555
2037,"Without_Earmarks",16196850.2327977
2038,"Without_Earmarks",16912503.9494561
2039,"Without_Earmarks",14897601.4096261
2040,"Without_Earmarks",14890169.3735825
2041,"Without_Earmarks",15392637.4835405
2042,"Without_Earmarks",16382741.9500887
2043,"Without_Earmarks",16629946.8753695
2044,"Without_Earmarks",17236435.9471474
2045,"Without_Earmarks",17435629.2198157
2046,"Without_Earmarks",18425733.6863639
2027,"With_Earmarks",17092529.6649245
2028,"With_Earmarks",16444052.5250743
2029,"With_Earmarks",14609384.1029597
2030,"With_Earmarks",14125549.6308309
2031,"With_Earmarks",14189936.5025663
2032,"With_Earmarks",13706769.6499906
2033,"With_Earmarks",12612364.8649154
2034,"With_Earmarks",12781374.6618811
2035,"With_Earmarks",12388624.5395243
2036,"With_Earmarks",12306258.0020785
2037,"With_Earmarks",10891568.1234525
2038,"With_Earmarks",10944061.5764427
2039,"With_Earmarks",8265998.77294467
2040,"With_Earmarks",7595406.47323293
2041,"With_Earmarks",7434714.3195228
2042,"With_Earmarks",7761658.52240285
2043,"With_Earmarks",7345703.18401546
2044,"With_Earmarks",7289031.99212524
2045,"With_Earmarks",6825065.00112541
2046,"With_Earmarks",7152009.20400547
