"year","scenario","repayments"
2027,"Without_Earmarks",22544551.4446247
2028,"Without_Earmarks",22281693.5399854
2029,"Without_Earmarks",21809250.3858858
2030,"Without_Earmarks",22178062.7781956
2031,"Without_Earmarks",22284658.4353403
2032,"Without_Earmarks",21950896.5202556
2033,"Without_Earmarks",21689510.7921441
2034,"Without_Earmarks",21775029.4205969
2035,"Without_Earmarks",22279154.5292386
2036,"Without_Earmarks",21873244.15158
2037,"Without_Earmarks",22447976.4528515
2038,"Without_Earmarks",22726972.6233636
2039,"Without_Earmarks",23017959.8302193
2040,"Without_Earmarks",22374340.5162627
2041,"Without_Earmarks",21869173.9122786
2042,"Without_Earmarks",22113398.0858409
2043,"Without_Earmarks",21544054.3622636
2044,"Without_Earmarks",20685957.0864348
2045,"Without_Earmarks",20057068.9389521
2046,"Without_Earmarks",21258668.9692858
2027,"With_Earmarks",22544551.4446247
2028,"With_Earmarks",22281693.5399854
2029,"With_Earmarks",21809250.3858858
2030,"With_Earmarks",21087681.5359537
2031,"With_Earmarks",20103895.9508565
2032,"With_Earmarks",18679752.7935298
2033,"With_Earmarks",17327985.8231763
2034,"With_Earmarks",16323123.2093872
2035,"With_Earmarks",15736867.075787
2036,"With_Earmarks",14240575.4558864
2037,"With_Earmarks",13724926.5149161
2038,"With_Earmarks",12913541.4431862
2039,"With_Earmarks",12114147.4078
2040,"With_Earmarks",10380146.8516015
2041,"With_Earmarks",8784599.00537542
2042,"With_Earmarks",7938441.93669585
2043,"With_Earmarks",6278716.97087662
2044,"With_Earmarks",4330238.45280579
2045,"With_Earmarks",2610969.0630812
2046,"With_Earmarks",2722187.851173
