"year","scenario","repayments"
2027,"Without_Earmarks",22216836.2803171
2028,"Without_Earmarks",24161125.097695
2029,"Without_Earmarks",22335723.9618452
2030,"Without_Earmarks",23093789.0715123
2031,"Without_Earmarks",23099301.9895353
2032,"Without_Earmarks",23513547.7604618
2033,"Without_Earmarks",23327604.9381109
2034,"Without_Earmarks",23828655.6582964
2035,"Without_Earmarks",23787678.113588
2036,"Without_Earmarks",23808898.688018
2037,"Without_Earmarks",24295272.5696087
2038,"Without_Earmarks",24523269.493201
2039,"Without_Earmarks",25166375.0994647
2040,"Without_Earmarks",24163316.3592513
2041,"Without_Earmarks",23732575.363615
2042,"Without_Earmarks",23433030.9303243
2043,"Without_Earmarks",23312849.0031436
2044,"Without_Earmarks",22435818.5429471
2045,"Without_Earmarks",21121431.2819981
2046,"Without_Earmarks",21572032.5223671
2027,"With_Earmarks",22216836.2803171
2028,"With_Earmarks",24161125.097695
2029,"With_Earmarks",22335723.9618452
2030,"With_Earmarks",23093789.0715123
2031,"With_Earmarks",23099301.9895353
2032,"With_Earmarks",23513547.7604618
2033,"With_Earmarks",23327604.9381109
2034,"With_Earmarks",23828655.6582964
2035,"With_Earmarks",23787678.113588
2036,"With_Earmarks",23808898.688018
2037,"With_Earmarks",24295272.5696087
2038,"With_Earmarks",24523269.493201
2039,"With_Earmarks",25166375.0994647
2040,"With_Earmarks",24163316.3592513
2041,"With_Earmarks",23732575.363615
2042,"With_Earmarks",23433030.9303243
2043,"With_Earmarks",23312849.0031436
2044,"With_Earmarks",22435818.5429471
2045,"With_Earmarks",21121431.2819981
2046,"With_Earmarks",21572032.5223671
