"year","scenario","repayments"
2027,"Without_Earmarks",55703375.4868434
2028,"Without_Earmarks",57111006.1851907
2029,"Without_Earmarks",55083095.778517
2030,"Without_Earmarks",55844466.3652119
2031,"Without_Earmarks",55061431.5998078
2032,"Without_Earmarks",55886012.3147029
2033,"Without_Earmarks",55554881.9624034
2034,"Without_Earmarks",56735672.9041614
2035,"Without_Earmarks",58229685.7726047
2036,"Without_Earmarks",58339079.4579472
2037,"Without_Earmarks",57969939.1943848
2038,"Without_Earmarks",57115444.0764907
2039,"Without_Earmarks",59592686.4063018
2040,"Without_Earmarks",60783428.886113
2041,"Without_Earmarks",61250064.6659242
2042,"Without_Earmarks",61180903.6457354
2043,"Without_Earmarks",62133692.0649209
2044,"Without_Earmarks",58257317.4668994
2045,"Without_Earmarks",55759310.0763381
2046,"Without_Earmarks",54115479.3205318
2027,"With_Earmarks",55703375.4868434
2028,"With_Earmarks",57111006.1851907
2029,"With_Earmarks",55083095.778517
2030,"With_Earmarks",55348993.1128518
2031,"With_Earmarks",54070485.0950875
2032,"With_Earmarks",54399592.5576224
2033,"With_Earmarks",53572988.9529628
2034,"With_Earmarks",54258306.6423606
2035,"With_Earmarks",55256846.2584438
2036,"With_Earmarks",54870766.6914261
2037,"With_Earmarks",54006153.1755036
2038,"With_Earmarks",52656184.8052493
2039,"With_Earmarks",54637953.8827003
2040,"With_Earmarks",55333223.1101514
2041,"With_Earmarks",55304385.6376024
2042,"With_Earmarks",54739751.3650535
2043,"With_Earmarks",55197066.5318787
2044,"With_Earmarks",50825218.6814971
2045,"With_Earmarks",47831738.0385757
2046,"With_Earmarks",45692434.0304092
