"year","scenario","repayments"
2027,"Without_Earmarks",35769008.9789236
2028,"Without_Earmarks",39984556.9210188
2029,"Without_Earmarks",39451003.8122891
2030,"Without_Earmarks",40076555.7798961
2031,"Without_Earmarks",40308870.1323143
2032,"Without_Earmarks",36504651.9988328
2033,"Without_Earmarks",36656007.3197286
2034,"Without_Earmarks",38096607.148999
2035,"Without_Earmarks",38096995.4243332
2036,"Without_Earmarks",35836506.7980337
2037,"Without_Earmarks",36542045.7543732
2038,"Without_Earmarks",37194591.7173726
2039,"Without_Earmarks",38436445.5652922
2040,"Without_Earmarks",35437177.8568376
2041,"Without_Earmarks",34607886.5456185
2042,"Without_Earmarks",32887196.1141177
2043,"Without_Earmarks",33268125.3593563
2044,"Without_Earmarks",32849520.3916464
2045,"Without_Earmarks",33056047.0674071
2046,"Without_Earmarks",33069379.4153485
2027,"With_Earmarks",35769008.9789236
2028,"With_Earmarks",39984556.9210188
2029,"With_Earmarks",39451003.8122891
2030,"With_Earmarks",40076555.7798961
2031,"With_Earmarks",40308870.1323143
2032,"With_Earmarks",36504651.9988328
2033,"With_Earmarks",36656007.3197286
2034,"With_Earmarks",38096607.148999
2035,"With_Earmarks",38096995.4243332
2036,"With_Earmarks",35836506.7980337
2037,"With_Earmarks",36542045.7543732
2038,"With_Earmarks",37194591.7173726
2039,"With_Earmarks",38436445.5652922
2040,"With_Earmarks",35437177.8568376
2041,"With_Earmarks",34607886.5456185
2042,"With_Earmarks",32887196.1141177
2043,"With_Earmarks",33268125.3593563
2044,"With_Earmarks",32849520.3916464
2045,"With_Earmarks",33056047.0674071
2046,"With_Earmarks",33069379.4153485
