"year","scenario","repayments"
2027,"Without_Earmarks",20944213.4238493
2028,"Without_Earmarks",22980107.4301043
2029,"Without_Earmarks",22785350.8241115
2030,"Without_Earmarks",23202997.9496298
2031,"Without_Earmarks",24110540.3408606
2032,"Without_Earmarks",24236413.0597094
2033,"Without_Earmarks",23869924.4076084
2034,"Without_Earmarks",23813202.5913096
2035,"Without_Earmarks",23376116.2935071
2036,"Without_Earmarks",24090074.5225483
2037,"Without_Earmarks",24114737.8883021
2038,"Without_Earmarks",25012824.4869326
2039,"Without_Earmarks",24838034.3309941
2040,"Without_Earmarks",25348013.4561488
2041,"Without_Earmarks",26321559.4037597
2042,"Without_Earmarks",27095605.0519341
2043,"Without_Earmarks",26471661.1528352
2044,"Without_Earmarks",26702152.9989781
2045,"Without_Earmarks",22594375.0015696
2046,"Without_Earmarks",22612706.9060046
2027,"With_Earmarks",20944213.4238493
2028,"With_Earmarks",22980107.4301043
2029,"With_Earmarks",22785350.8241115
2030,"With_Earmarks",22601117.9331147
2031,"With_Earmarks",22906780.3078305
2032,"With_Earmarks",22430773.0101642
2033,"With_Earmarks",21462404.3415481
2034,"With_Earmarks",20803802.5087343
2035,"With_Earmarks",19764836.1944168
2036,"With_Earmarks",19876914.4069429
2037,"With_Earmarks",19299697.7561816
2038,"With_Earmarks",19595904.3382971
2039,"With_Earmarks",18819234.1658436
2040,"With_Earmarks",18727333.2744832
2041,"With_Earmarks",19098999.205579
2042,"With_Earmarks",19271164.8372383
2043,"With_Earmarks",18045340.9216244
2044,"With_Earmarks",17673952.7512522
2045,"With_Earmarks",12964294.7373287
2046,"With_Earmarks",12380746.6252486
