"year","scenario","repayments"
2027,"Without_Earmarks",15174932.2748629
2028,"Without_Earmarks",15451365.0713157
2029,"Without_Earmarks",14519542.7715268
2030,"Without_Earmarks",14288062.314257
2031,"Without_Earmarks",14676758.6336089
2032,"Without_Earmarks",14852183.5812949
2033,"Without_Earmarks",15305359.9256142
2034,"Without_Earmarks",15359253.6489843
2035,"Without_Earmarks",15805589.9805664
2036,"Without_Earmarks",15218792.0488827
2037,"Without_Earmarks",15208345.6500898
2038,"Without_Earmarks",14085566.2522348
2039,"Without_Earmarks",14245184.251045
2040,"Without_Earmarks",13628334.4152024
2041,"Without_Earmarks",14024102.7035365
2042,"Without_Earmarks",14166598.8363434
2043,"Without_Earmarks",14271535.6516775
2044,"Without_Earmarks",14137829.5460116
2045,"Without_Earmarks",14628720.4158457
2046,"Without_Earmarks",15189046.2331798
2027,"With_Earmarks",15174932.2748629
2028,"With_Earmarks",15451365.0713157
2029,"With_Earmarks",14519542.7715268
2030,"With_Earmarks",14043847.0774477
2031,"With_Earmarks",14188328.1599903
2032,"With_Earmarks",14119537.870867
2033,"With_Earmarks",14328498.978377
2034,"With_Earmarks",14138177.4649378
2035,"With_Earmarks",14340298.5597106
2036,"With_Earmarks",13509285.3912176
2037,"With_Earmarks",13254623.7556154
2038,"With_Earmarks",11887629.1209511
2039,"With_Earmarks",11803031.882952
2040,"With_Earmarks",10941966.8103001
2041,"With_Earmarks",11093519.8618249
2042,"With_Earmarks",10991800.7578225
2043,"With_Earmarks",10852522.3363473
2044,"With_Earmarks",10474600.9938721
2045,"With_Earmarks",10721276.626897
2046,"With_Earmarks",11037387.2074218
