"year","scenario","repayments"
2027,"Without_Earmarks",93605090.4713491
2028,"Without_Earmarks",101150606.691921
2029,"Without_Earmarks",98142047.2728616
2030,"Without_Earmarks",98088013.877536
2031,"Without_Earmarks",100136590.738816
2032,"Without_Earmarks",102780339.170757
2033,"Without_Earmarks",102654874.862187
2034,"Without_Earmarks",102244623.569695
2035,"Without_Earmarks",101096253.915027
2036,"Without_Earmarks",104141220.266269
2037,"Without_Earmarks",106087634.135519
2038,"Without_Earmarks",107968120.293813
2039,"Without_Earmarks",109648631.48706
2040,"Without_Earmarks",108563118.599955
2041,"Without_Earmarks",107116142.579742
2042,"Without_Earmarks",105693066.341338
2043,"Without_Earmarks",103576864.097174
2044,"Without_Earmarks",98844793.1027761
2045,"Without_Earmarks",96434764.5636086
2046,"Without_Earmarks",98314011.7640153
2027,"With_Earmarks",93605090.4713491
2028,"With_Earmarks",101150606.691921
2029,"With_Earmarks",98142047.2728616
2030,"With_Earmarks",96836517.4296368
2031,"With_Earmarks",97633597.8430178
2032,"With_Earmarks",99025849.8270598
2033,"With_Earmarks",97648889.0705906
2034,"With_Earmarks",95987141.3301986
2035,"With_Earmarks",93587275.2276318
2036,"With_Earmarks",95380745.1309741
2037,"With_Earmarks",96075662.5523252
2038,"With_Earmarks",96704652.2627204
2039,"With_Earmarks",97133667.008068
2040,"With_Earmarks",94796657.6730638
2041,"With_Earmarks",92098185.2049511
2042,"With_Earmarks",89423612.5186483
2043,"With_Earmarks",86055913.8265851
2044,"With_Earmarks",80072346.3842877
2045,"With_Earmarks",76410821.397221
2046,"With_Earmarks",77038572.1497285
