"year","scenario","repayments"
2027,"Without_Earmarks",11542232.2411802
2028,"Without_Earmarks",12420918.6698272
2029,"Without_Earmarks",12019424.8153347
2030,"Without_Earmarks",12271263.7657564
2031,"Without_Earmarks",11105685.2998395
2032,"Without_Earmarks",10591852.6085956
2033,"Without_Earmarks",10882630.0853965
2034,"Without_Earmarks",11238467.659443
2035,"Without_Earmarks",11767357.0122353
2036,"Without_Earmarks",11777672.1241436
2037,"Without_Earmarks",11061114.5546214
2038,"Without_Earmarks",11238041.2637824
2039,"Without_Earmarks",11279357.3361891
2040,"Without_Earmarks",11424953.7486971
2041,"Without_Earmarks",11462417.9395566
2042,"Without_Earmarks",11187452.5572214
2043,"Without_Earmarks",11554370.6280403
2044,"Without_Earmarks",10535957.0717973
2045,"Without_Earmarks",10697315.7262818
2046,"Without_Earmarks",10582245.0562222
2027,"With_Earmarks",11542232.2411802
2028,"With_Earmarks",12420918.6698272
2029,"With_Earmarks",12019424.8153347
2030,"With_Earmarks",11966627.4307472
2031,"With_Earmarks",10496412.6298211
2032,"With_Earmarks",9677943.60356795
2033,"With_Earmarks",9664084.74535973
2034,"With_Earmarks",9715285.98439696
2035,"With_Earmarks",9939539.00218004
2036,"With_Earmarks",9645217.7790792
2037,"With_Earmarks",8624023.87454781
2038,"With_Earmarks",8496314.2486996
2039,"With_Earmarks",8232993.98609704
2040,"With_Earmarks",8073954.06359584
2041,"With_Earmarks",7806781.91944611
2042,"With_Earmarks",7227180.20210174
2043,"With_Earmarks",7289461.93791146
2044,"With_Earmarks",5966412.04665925
2045,"With_Earmarks",5823134.36613456
2046,"With_Earmarks",5403427.36106573
