"year","scenario","repayments"
2027,"Without_Earmarks",15477058.9457638
2028,"Without_Earmarks",17619950.4194919
2029,"Without_Earmarks",16904997.008133
2030,"Without_Earmarks",17673444.5979407
2031,"Without_Earmarks",18366541.0112331
2032,"Without_Earmarks",18673587.9653457
2033,"Without_Earmarks",16671125.6394265
2034,"Without_Earmarks",17336320.8012774
2035,"Without_Earmarks",17568282.3303517
2036,"Without_Earmarks",18435601.8142308
2037,"Without_Earmarks",18943462.1835603
2038,"Without_Earmarks",17717018.8215894
2039,"Without_Earmarks",17702707.5221004
2040,"Without_Earmarks",17082698.0904896
2041,"Without_Earmarks",15690017.3975366
2042,"Without_Earmarks",16557336.8814158
2043,"Without_Earmarks",17419947.6347949
2044,"Without_Earmarks",17289630.15498
2045,"Without_Earmarks",18156949.6388591
2046,"Without_Earmarks",19024269.1227383
2027,"With_Earmarks",15477058.9457638
2028,"With_Earmarks",17619950.4194919
2029,"With_Earmarks",16904997.008133
2030,"With_Earmarks",17055056.5411167
2031,"With_Earmarks",17129764.897585
2032,"With_Earmarks",16818423.7948735
2033,"With_Earmarks",14197573.4121302
2034,"With_Earmarks",14244380.5171571
2035,"With_Earmarks",13857953.9894073
2036,"With_Earmarks",14106885.4164624
2037,"With_Earmarks",13996357.7289678
2038,"With_Earmarks",12151526.3101729
2039,"With_Earmarks",11518826.9538598
2040,"With_Earmarks",10280429.465425
2041,"With_Earmarks",8269360.71564795
2042,"With_Earmarks",8518292.14270303
2043,"With_Earmarks",8762514.8392581
2044,"With_Earmarks",8013809.30261913
2045,"With_Earmarks",8262740.7296742
2046,"With_Earmarks",8511672.15672928
