"year","scenario","repayments"
2027,"Without_Earmarks",210187634.873129
2028,"Without_Earmarks",225341665.939691
2029,"Without_Earmarks",220605337.875092
2030,"Without_Earmarks",224791328.660699
2031,"Without_Earmarks",220787078.345819
2032,"Without_Earmarks",224914634.369893
2033,"Without_Earmarks",224229469.365007
2034,"Without_Earmarks",228285666.966596
2035,"Without_Earmarks",234948105.951065
2036,"Without_Earmarks",231694556.705274
2037,"Without_Earmarks",238678856.081624
2038,"Without_Earmarks",235101757.951872
2039,"Without_Earmarks",225932568.054349
2040,"Without_Earmarks",220396989.715486
2041,"Without_Earmarks",215523303.997994
2042,"Without_Earmarks",221701863.53359
2043,"Without_Earmarks",214424984.754707
2044,"Without_Earmarks",210994075.685249
2045,"Without_Earmarks",212629698.103066
2046,"Without_Earmarks",213476818.084649
2027,"With_Earmarks",210187634.873129
2028,"With_Earmarks",225341665.939691
2029,"With_Earmarks",220605337.875092
2030,"With_Earmarks",221856450.902048
2031,"With_Earmarks",214917322.828516
2032,"With_Earmarks",216110001.09394
2033,"With_Earmarks",212489958.330403
2034,"With_Earmarks",213611278.173341
2035,"With_Earmarks",217338839.399158
2036,"With_Earmarks",211150412.394716
2037,"With_Earmarks",215199834.012414
2038,"With_Earmarks",208687858.124012
2039,"With_Earmarks",196583790.467837
2040,"With_Earmarks",188113334.370324
2041,"With_Earmarks",180304770.89418
2042,"With_Earmarks",183548452.671126
2043,"With_Earmarks",173336696.133591
2044,"With_Earmarks",166970909.305482
2045,"With_Earmarks",165671653.964648
2046,"With_Earmarks",163583896.18758
