"year","scenario","repayments"
2027,"Without_Earmarks",159227291.249645
2028,"Without_Earmarks",194939493.122432
2029,"Without_Earmarks",186864560.425444
2030,"Without_Earmarks",188565044.665353
2031,"Without_Earmarks",190067948.216825
2032,"Without_Earmarks",191005828.827614
2033,"Without_Earmarks",194138885.192475
2034,"Without_Earmarks",198466305.531237
2035,"Without_Earmarks",201367687.268922
2036,"Without_Earmarks",201547363.776487
2037,"Without_Earmarks",204852520.889084
2038,"Without_Earmarks",209214594.398946
2039,"Without_Earmarks",206851168.5891
2040,"Without_Earmarks",208856423.707976
2041,"Without_Earmarks",206534534.70107
2042,"Without_Earmarks",204012159.436128
2043,"Without_Earmarks",198689281.639397
2044,"Without_Earmarks",194158618.291359
2045,"Without_Earmarks",188068085.988055
2046,"Without_Earmarks",156584712.990968
2027,"With_Earmarks",159227291.249645
2028,"With_Earmarks",194939493.122432
2029,"With_Earmarks",186864560.425444
2030,"With_Earmarks",187256287.076975
2031,"With_Earmarks",187450433.04007
2032,"With_Earmarks",187079556.062481
2033,"With_Earmarks",188903854.838964
2034,"With_Earmarks",191922517.589349
2035,"With_Earmarks",193515141.738657
2036,"With_Earmarks",192386060.657844
2037,"With_Earmarks",194382460.182064
2038,"With_Earmarks",197435776.103548
2039,"With_Earmarks",193763592.705325
2040,"With_Earmarks",194460090.235824
2041,"With_Earmarks",190829443.640539
2042,"With_Earmarks",186998310.78722
2043,"With_Earmarks",180366675.402112
2044,"With_Earmarks",174527254.465696
2045,"With_Earmarks",167127964.574015
2046,"With_Earmarks",134335833.98855
