"year","scenario","repayments"
2027,"Without_Earmarks",109101879.703718
2028,"Without_Earmarks",119510625.063069
2029,"Without_Earmarks",117408571.066393
2030,"Without_Earmarks",118150503.577088
2031,"Without_Earmarks",121419105.541424
2032,"Without_Earmarks",121351268.60388
2033,"Without_Earmarks",119496901.338799
2034,"Without_Earmarks",120555318.641487
2035,"Without_Earmarks",122580476.404949
2036,"Without_Earmarks",125857053.094434
2037,"Without_Earmarks",130417604.159953
2038,"Without_Earmarks",133251148.72195
2039,"Without_Earmarks",131544762.011706
2040,"Without_Earmarks",130689638.301371
2041,"Without_Earmarks",136395331.503942
2042,"Without_Earmarks",136695440.845293
2043,"Without_Earmarks",132604221.963396
2044,"Without_Earmarks",123425061.183063
2045,"Without_Earmarks",112972658.269563
2046,"Without_Earmarks",116543219.117528
2027,"With_Earmarks",109101879.703718
2028,"With_Earmarks",119510625.063069
2029,"With_Earmarks",117408571.066393
2030,"With_Earmarks",116858896.027377
2031,"With_Earmarks",118835890.442002
2032,"With_Earmarks",117476445.954747
2033,"With_Earmarks",114330471.139955
2034,"With_Earmarks",114097280.892933
2035,"With_Earmarks",114830831.106684
2036,"With_Earmarks",116815800.246458
2037,"With_Earmarks",120084743.762266
2038,"With_Earmarks",121626680.774552
2039,"With_Earmarks",118628686.514597
2040,"With_Earmarks",116481955.254551
2041,"With_Earmarks",120896040.907412
2042,"With_Earmarks",119904542.699051
2043,"With_Earmarks",114521716.267443
2044,"With_Earmarks",104050947.9374
2045,"With_Earmarks",92306937.4741886
2046,"With_Earmarks",94585890.7724425
