"year","scenario","repayments"
2027,"Without_Earmarks",24243746.4361624
2028,"Without_Earmarks",24853599.3055853
2029,"Without_Earmarks",24177865.4348258
2030,"Without_Earmarks",24638439.3820664
2031,"Without_Earmarks",24682319.9660361
2032,"Without_Earmarks",24499868.9136901
2033,"Without_Earmarks",22233627.6402988
2034,"Without_Earmarks",23132628.9621578
2035,"Without_Earmarks",23685742.091835
2036,"Without_Earmarks",24467806.5045916
2037,"Without_Earmarks",24664779.7961594
2038,"Without_Earmarks",25496439.9924827
2039,"Without_Earmarks",25457519.9539177
2040,"Without_Earmarks",24313466.7217632
2041,"Without_Earmarks",24080969.4954059
2042,"Without_Earmarks",23533066.8010995
2043,"Without_Earmarks",23674501.0164326
2044,"Without_Earmarks",24090818.0035504
2045,"Without_Earmarks",23018230.0889793
2046,"Without_Earmarks",23087102.2237655
2027,"With_Earmarks",24243746.4361624
2028,"With_Earmarks",24853599.3055853
2029,"With_Earmarks",24177865.4348258
2030,"With_Earmarks",23651619.1601614
2031,"With_Earmarks",22708679.5222261
2032,"With_Earmarks",21539408.2479751
2033,"With_Earmarks",18286346.7526788
2034,"With_Earmarks",18198527.8526327
2035,"With_Earmarks",17764820.760405
2036,"With_Earmarks",17560064.9512565
2037,"With_Earmarks",16770218.0209193
2038,"With_Earmarks",16615057.9953376
2039,"With_Earmarks",15589317.7348676
2040,"With_Earmarks",13458444.280808
2041,"With_Earmarks",12239126.8325458
2042,"With_Earmarks",10704403.9163344
2043,"With_Earmarks",9859017.9097625
2044,"With_Earmarks",9288514.67497526
2045,"With_Earmarks",7229106.5384991
2046,"With_Earmarks",6311158.45138035
