"year","scenario","repayments"
2027,"Without_Earmarks",88923979.5253034
2028,"Without_Earmarks",100113219.336033
2029,"Without_Earmarks",96970254.2438565
2030,"Without_Earmarks",98897994.4376999
2031,"Without_Earmarks",99579697.7311567
2032,"Without_Earmarks",100827468.826473
2033,"Without_Earmarks",95132118.7391098
2034,"Without_Earmarks",96588680.1301231
2035,"Without_Earmarks",97844605.0121991
2036,"Without_Earmarks",96355741.4950676
2037,"Without_Earmarks",97192591.8190731
2038,"Without_Earmarks",99753703.7653477
2039,"Without_Earmarks",101282642.893111
2040,"Without_Earmarks",103255424.974211
2041,"Without_Earmarks",105577992.843108
2042,"Without_Earmarks",104457890.234898
2043,"Without_Earmarks",100089629.781761
2044,"Without_Earmarks",97872201.5801146
2045,"Without_Earmarks",93415401.6895823
2046,"Without_Earmarks",83271014.5637998
2027,"With_Earmarks",88923979.5253034
2028,"With_Earmarks",100113219.336033
2029,"With_Earmarks",96970254.2438565
2030,"With_Earmarks",98052147.0414988
2031,"With_Earmarks",97888002.9387545
2032,"With_Earmarks",98289926.6378696
2033,"With_Earmarks",91748729.1543055
2034,"With_Earmarks",92359443.1491178
2035,"With_Earmarks",92769520.6349927
2036,"With_Earmarks",90434809.7216601
2037,"With_Earmarks",90425812.6494645
2038,"With_Earmarks",92141077.199538
2039,"With_Earmarks",92824168.9311007
2040,"With_Earmarks",93951103.6159993
2041,"With_Earmarks",95427824.0886952
2042,"With_Earmarks",93461874.0842843
2043,"With_Earmarks",88247766.2349454
2044,"With_Earmarks",85184490.6370984
2045,"With_Earmarks",79881843.350365
2046,"With_Earmarks",68891608.8283815
