"year","scenario","repayments"
2027,"Without_Earmarks",35677448.8936695
2028,"Without_Earmarks",35011639.9016293
2029,"Without_Earmarks",34906636.7180248
2030,"Without_Earmarks",35932875.7315585
2031,"Without_Earmarks",34642182.3509042
2032,"Without_Earmarks",36483657.4196001
2033,"Without_Earmarks",36129008.9319494
2034,"Without_Earmarks",38013165.9749693
2035,"Without_Earmarks",36728188.0369892
2036,"Without_Earmarks",34648941.0959431
2037,"Without_Earmarks",36432590.0883524
2038,"Without_Earmarks",36503741.570481
2039,"Without_Earmarks",35729275.7533194
2040,"Without_Earmarks",36553086.4348258
2041,"Without_Earmarks",37178263.956025
2042,"Without_Earmarks",34920106.3026305
2043,"Without_Earmarks",36368969.8775083
2044,"Without_Earmarks",35498284.1353206
2045,"Without_Earmarks",37382441.1783405
2046,"Without_Earmarks",38797452.6807216
2027,"With_Earmarks",35677448.8936695
2028,"With_Earmarks",35011639.9016293
2029,"With_Earmarks",34906636.7180248
2030,"With_Earmarks",35710786.8226229
2031,"With_Earmarks",34198004.533033
2032,"With_Earmarks",35817390.6927932
2033,"With_Earmarks",35240653.296207
2034,"With_Earmarks",36902721.4302913
2035,"With_Earmarks",35395654.5833756
2036,"With_Earmarks",33094318.7333939
2037,"With_Earmarks",34655878.8168676
2038,"With_Earmarks",34504941.3900606
2039,"With_Earmarks",33508386.6639634
2040,"With_Earmarks",34110108.4365342
2041,"With_Earmarks",34513197.0487978
2042,"With_Earmarks",32032950.4864676
2043,"With_Earmarks",33259725.1524099
2044,"With_Earmarks",32166950.5012866
2045,"With_Earmarks",33829018.6353709
2046,"With_Earmarks",35021941.2288163
