"year","scenario","repayments"
2027,"Without_Earmarks",29312762.5044824
2028,"Without_Earmarks",30123006.9387092
2029,"Without_Earmarks",29297789.6141865
2030,"Without_Earmarks",29711774.9630787
2031,"Without_Earmarks",30618833.8312261
2032,"Without_Earmarks",30328727.3847574
2033,"Without_Earmarks",29891493.5790463
2034,"Without_Earmarks",30153429.3306298
2035,"Without_Earmarks",30886363.8518875
2036,"Without_Earmarks",31139358.6731776
2037,"Without_Earmarks",30183186.2979428
2038,"Without_Earmarks",29398802.0691217
2039,"Without_Earmarks",29577863.5099912
2040,"Without_Earmarks",28056028.2283881
2041,"Without_Earmarks",27082219.2298203
2042,"Without_Earmarks",27947449.1809336
2043,"Without_Earmarks",27411630.8119965
2044,"Without_Earmarks",28397072.1484949
2045,"Without_Earmarks",27987669.0742005
2046,"Without_Earmarks",29224759.1261793
2027,"With_Earmarks",29312762.5044824
2028,"With_Earmarks",30123006.9387092
2029,"With_Earmarks",29297789.6141865
2030,"With_Earmarks",28757390.9840485
2031,"With_Earmarks",28710065.8731657
2032,"With_Earmarks",27465575.4476668
2033,"With_Earmarks",26073957.6629254
2034,"With_Earmarks",25381509.4354788
2035,"With_Earmarks",25160059.9777063
2036,"With_Earmarks",24458670.8199661
2037,"With_Earmarks",22548114.4657011
2038,"With_Earmarks",20809346.2578498
2039,"With_Earmarks",20034023.7196892
2040,"With_Earmarks",17557804.4590559
2041,"With_Earmarks",15629611.4814578
2042,"With_Earmarks",15540457.4535409
2043,"With_Earmarks",14050255.1055736
2044,"With_Earmarks",14081312.4630418
2045,"With_Earmarks",12717525.4097172
2046,"With_Earmarks",13000231.4826658
