"year","scenario","repayments"
2027,"Without_Earmarks",51032042.4304332
2028,"Without_Earmarks",61485456.7897581
2029,"Without_Earmarks",60363039.5849141
2030,"Without_Earmarks",61584387.6869236
2031,"Without_Earmarks",59783539.1116933
2032,"Without_Earmarks",58876917.0305428
2033,"Without_Earmarks",60119283.8242685
2034,"Without_Earmarks",59609311.7527099
2035,"Without_Earmarks",60906383.6495483
2036,"Without_Earmarks",61951112.4084462
2037,"Without_Earmarks",62484901.4017376
2038,"Without_Earmarks",61635723.4140349
2039,"Without_Earmarks",62426930.7070855
2040,"Without_Earmarks",63224209.816094
2041,"Without_Earmarks",61645331.0454372
2042,"Without_Earmarks",61793398.404403
2043,"Without_Earmarks",60275917.688288
2044,"Without_Earmarks",59790340.4144832
2045,"Without_Earmarks",59370910.576268
2046,"Without_Earmarks",50026513.0165128
2027,"With_Earmarks",51032042.4304332
2028,"With_Earmarks",61485456.7897581
2029,"With_Earmarks",60363039.5849141
2030,"With_Earmarks",61584387.6869236
2031,"With_Earmarks",59783539.1116933
2032,"With_Earmarks",58876917.0305428
2033,"With_Earmarks",60119283.8242685
2034,"With_Earmarks",59609311.7527099
2035,"With_Earmarks",60906383.6495483
2036,"With_Earmarks",61951112.4084462
2037,"With_Earmarks",62484901.4017376
2038,"With_Earmarks",61635723.4140349
2039,"With_Earmarks",62426930.7070855
2040,"With_Earmarks",63224209.816094
2041,"With_Earmarks",61645331.0454372
2042,"With_Earmarks",61793398.404403
2043,"With_Earmarks",60275917.688288
2044,"With_Earmarks",59790340.4144832
2045,"With_Earmarks",59370910.576268
2046,"With_Earmarks",50026513.0165128
