"year","scenario","repayments"
2027,"Without_Earmarks",17292588.3125997
2028,"Without_Earmarks",19537870.4543387
2029,"Without_Earmarks",18065486.1618285
2030,"Without_Earmarks",18244453.7838933
2031,"Without_Earmarks",18752061.8156259
2032,"Without_Earmarks",19299342.8601165
2033,"Without_Earmarks",19646881.0415517
2034,"Without_Earmarks",19421538.4973289
2035,"Without_Earmarks",19910764.9076565
2036,"Without_Earmarks",20014472.0211019
2037,"Without_Earmarks",20311974.6158739
2038,"Without_Earmarks",19902348.6531969
2039,"Without_Earmarks",19252923.4123542
2040,"Without_Earmarks",19408747.3950262
2041,"Without_Earmarks",20169104.3708596
2042,"Without_Earmarks",20403937.1698457
2043,"Without_Earmarks",19237832.687582
2044,"Without_Earmarks",19619616.0471449
2045,"Without_Earmarks",18957479.5752511
2046,"Without_Earmarks",17288498.0313494
2027,"With_Earmarks",17292588.3125997
2028,"With_Earmarks",19537870.4543387
2029,"With_Earmarks",18065486.1618285
2030,"With_Earmarks",17831938.0487172
2031,"With_Earmarks",17927030.3452737
2032,"With_Earmarks",18061795.6545882
2033,"With_Earmarks",17996818.1008473
2034,"With_Earmarks",17358959.8214484
2035,"With_Earmarks",17435670.4965999
2036,"With_Earmarks",17126861.8748692
2037,"With_Earmarks",17011848.7344651
2038,"With_Earmarks",16189707.036612
2039,"With_Earmarks",15127766.0605933
2040,"With_Earmarks",14871074.3080891
2041,"With_Earmarks",15218915.5487464
2042,"With_Earmarks",15041232.6125565
2043,"With_Earmarks",13462612.3951167
2044,"With_Earmarks",13431880.0195034
2045,"With_Earmarks",12357227.8124335
2046,"With_Earmarks",10275730.5333557
