"year","scenario","repayments"
2027,"Without_Earmarks",151887660.159997
2028,"Without_Earmarks",157868209.031941
2029,"Without_Earmarks",151407124.075441
2030,"Without_Earmarks",153287354.551586
2031,"Without_Earmarks",150341176.877903
2032,"Without_Earmarks",151714427.969923
2033,"Without_Earmarks",150501724.853478
2034,"Without_Earmarks",157401274.38213
2035,"Without_Earmarks",164210565.524137
2036,"Without_Earmarks",169677094.233194
2037,"Without_Earmarks",171358929.647403
2038,"Without_Earmarks",168106164.507184
2039,"Without_Earmarks",170952954.722787
2040,"Without_Earmarks",170796754.513826
2041,"Without_Earmarks",168182587.875837
2042,"Without_Earmarks",164798404.93946
2043,"Without_Earmarks",146528627.18273
2044,"Without_Earmarks",145213804.786609
2045,"Without_Earmarks",140417790.911624
2046,"Without_Earmarks",139124901.847602
2027,"With_Earmarks",151887660.159997
2028,"With_Earmarks",157868209.031941
2029,"With_Earmarks",151407124.075441
2030,"With_Earmarks",152743806.749509
2031,"With_Earmarks",149254081.273749
2032,"With_Earmarks",150083784.563692
2033,"With_Earmarks",148327533.64517
2034,"With_Earmarks",154683535.371745
2035,"With_Earmarks",160949278.711675
2036,"With_Earmarks",165872259.618655
2037,"With_Earmarks",167010547.230786
2038,"With_Earmarks",163214234.288491
2039,"With_Earmarks",165517476.702017
2040,"With_Earmarks",164817728.690978
2041,"With_Earmarks",161660014.250913
2042,"With_Earmarks",157732283.512458
2043,"With_Earmarks",138918957.953652
2044,"With_Earmarks",137060587.755453
2045,"With_Earmarks",131721026.078392
2046,"With_Earmarks",129884589.212293
