"year","scenario","repayments"
2027,"Without_Earmarks",16825680.1237812
2028,"Without_Earmarks",20878845.2763211
2029,"Without_Earmarks",19374454.7943065
2030,"Without_Earmarks",20094704.9424639
2031,"Without_Earmarks",20493968.1521171
2032,"Without_Earmarks",20076656.0387859
2033,"Without_Earmarks",20022367.4295974
2034,"Without_Earmarks",19859853.8419133
2035,"Without_Earmarks",19979236.1233619
2036,"Without_Earmarks",20003094.9291983
2037,"Without_Earmarks",20154231.8516129
2038,"Without_Earmarks",19982402.6519087
2039,"Without_Earmarks",20617479.4542377
2040,"Without_Earmarks",21266588.8290715
2041,"Without_Earmarks",21414326.2403695
2042,"Without_Earmarks",21914884.5173658
2043,"Without_Earmarks",18585071.9204019
2044,"Without_Earmarks",18576528.6647764
2045,"Without_Earmarks",18638697.5796675
2046,"Without_Earmarks",19430598.2391507
2027,"With_Earmarks",16825680.1237812
2028,"With_Earmarks",20878845.2763211
2029,"With_Earmarks",19374454.7943065
2030,"With_Earmarks",19302804.2829808
2031,"With_Earmarks",18910166.8331509
2032,"With_Earmarks",17700954.0603365
2033,"With_Earmarks",16854764.7916648
2034,"With_Earmarks",15900350.5444976
2035,"With_Earmarks",15227832.1664631
2036,"With_Earmarks",14459790.3128164
2037,"With_Earmarks",13819026.5757478
2038,"With_Earmarks",12855296.7165605
2039,"With_Earmarks",12698472.8594064
2040,"With_Earmarks",12555681.574757
2041,"With_Earmarks",11911518.3265719
2042,"With_Earmarks",11620175.944085
2043,"With_Earmarks",7498462.687638
2044,"With_Earmarks",6698018.77252934
2045,"With_Earmarks",5968287.02793739
2046,"With_Earmarks",5968287.02793739
