"year","scenario","repayments"
2027,"Without_Earmarks",18767310.2216571
2028,"Without_Earmarks",22490944.0919437
2029,"Without_Earmarks",21558138.0963911
2030,"Without_Earmarks",21897320.1873249
2031,"Without_Earmarks",22533048.2782587
2032,"Without_Earmarks",22793073.8691925
2033,"Without_Earmarks",22833024.3331263
2034,"Without_Earmarks",23172514.6835485
2035,"Without_Earmarks",23456567.165047
2036,"Without_Earmarks",23436937.8469219
2037,"Without_Earmarks",23231868.4369218
2038,"Without_Earmarks",23784171.4402551
2039,"Without_Earmarks",24123284.3324719
2040,"Without_Earmarks",24395768.5703659
2041,"Without_Earmarks",23834607.6826605
2042,"Without_Earmarks",24084545.9462014
2043,"Without_Earmarks",24648252.2950699
2044,"Without_Earmarks",20369730.3939071
2045,"Without_Earmarks",20817924.535041
2046,"Without_Earmarks",21007573.6014711
2027,"With_Earmarks",18767310.2216571
2028,"With_Earmarks",22490944.0919437
2029,"With_Earmarks",21558138.0963911
2030,"With_Earmarks",21403221.1513469
2031,"With_Earmarks",21544850.2063026
2032,"With_Earmarks",21310776.7612584
2033,"With_Earmarks",20856628.1892142
2034,"With_Earmarks",20702019.5036583
2035,"With_Earmarks",20491972.9491788
2036,"With_Earmarks",19978244.5950756
2037,"With_Earmarks",19279076.1490975
2038,"With_Earmarks",19337280.1164527
2039,"With_Earmarks",19182293.9726915
2040,"With_Earmarks",18960679.1746075
2041,"With_Earmarks",17905419.250924
2042,"With_Earmarks",17661258.4784869
2043,"With_Earmarks",17730865.7913774
2044,"With_Earmarks",12958244.8542365
2045,"With_Earmarks",12912339.9593925
2046,"With_Earmarks",12607889.9898445
