"year","scenario","repayments"
2027,"Without_Earmarks",11579215.6706415
2028,"Without_Earmarks",12926406.9469955
2029,"Without_Earmarks",12720530.1759246
2030,"Without_Earmarks",12859225.0784708
2031,"Without_Earmarks",12818922.8107832
2032,"Without_Earmarks",12960236.097079
2033,"Without_Earmarks",12911614.3062231
2034,"Without_Earmarks",13116491.1868627
2035,"Without_Earmarks",13000871.9167392
2036,"Without_Earmarks",13052514.6932306
2037,"Without_Earmarks",12808310.1022274
2038,"Without_Earmarks",12885425.0466413
2039,"Without_Earmarks",12628346.8152602
2040,"Without_Earmarks",12656690.1161372
2041,"Without_Earmarks",12678485.5574953
2042,"Without_Earmarks",13094938.4367436
2043,"Without_Earmarks",13004000.7513614
2044,"Without_Earmarks",12194542.0158525
2045,"Without_Earmarks",12011399.8964496
2046,"Without_Earmarks",12058745.2779465
2027,"With_Earmarks",11579215.6706415
2028,"With_Earmarks",12926406.9469955
2029,"With_Earmarks",12720530.1759246
2030,"With_Earmarks",12608901.6402315
2031,"With_Earmarks",12318275.9343046
2032,"With_Earmarks",12209265.7823611
2033,"With_Earmarks",11910320.5532659
2034,"With_Earmarks",11864873.9956661
2035,"With_Earmarks",11498931.2873033
2036,"With_Earmarks",11300250.6255554
2037,"With_Earmarks",10805722.5963129
2038,"With_Earmarks",10632514.1024875
2039,"With_Earmarks",10125112.4328671
2040,"With_Earmarks",9903132.29550472
2041,"With_Earmarks",9674604.2986235
2042,"With_Earmarks",9840733.7396325
2043,"With_Earmarks",9499472.61601106
2044,"With_Earmarks",8439690.44226276
2045,"With_Earmarks",8006224.88462063
2046,"With_Earmarks",7803246.82787817
