"year","scenario","repayments"
2027,"Without_Earmarks",50610569.725887
2028,"Without_Earmarks",51813224.2330552
2029,"Without_Earmarks",50039144.599151
2030,"Without_Earmarks",51600160.9301129
2031,"Without_Earmarks",53233874.6731436
2032,"Without_Earmarks",53069604.1670552
2033,"Without_Earmarks",53161120.6644811
2034,"Without_Earmarks",52643780.53443
2035,"Without_Earmarks",52037854.2954917
2036,"Without_Earmarks",49573423.7927779
2037,"Without_Earmarks",43915174.2745024
2038,"Without_Earmarks",43356217.1581831
2039,"Without_Earmarks",43307379.5758679
2040,"Without_Earmarks",44119066.3647938
2041,"Without_Earmarks",46711755.043774
2042,"Without_Earmarks",47616110.8932228
2043,"Without_Earmarks",49383046.1880532
2044,"Without_Earmarks",50594187.2556784
2045,"Without_Earmarks",46289213.1989418
2046,"Without_Earmarks",48881901.877922
2027,"With_Earmarks",50610569.725887
2028,"With_Earmarks",51813224.2330552
2029,"With_Earmarks",50039144.599151
2030,"With_Earmarks",50788696.8737708
2031,"With_Earmarks",51610946.5604594
2032,"With_Earmarks",50635211.9980289
2033,"With_Earmarks",49915264.4391126
2034,"With_Earmarks",48586460.2527194
2035,"With_Earmarks",47169069.957439
2036,"With_Earmarks",43893175.3983831
2037,"With_Earmarks",37423461.8237655
2038,"With_Earmarks",36053040.651104
2039,"With_Earmarks",35192739.0124467
2040,"With_Earmarks",35192961.7450305
2041,"With_Earmarks",36974186.3676686
2042,"With_Earmarks",37067078.1607753
2043,"With_Earmarks",38022549.3992636
2044,"With_Earmarks",38422226.4105466
2045,"With_Earmarks",33305788.2974679
2046,"With_Earmarks",35087012.920106
