"year","scenario","repayments"
2027,"Without_Earmarks",36879969.8861039
2028,"Without_Earmarks",46320411.3034942
2029,"Without_Earmarks",44871315.463207
2030,"Without_Earmarks",46258227.4194971
2031,"Without_Earmarks",46179582.9405832
2032,"Without_Earmarks",46916799.0380523
2033,"Without_Earmarks",47056942.3417802
2034,"Without_Earmarks",48775717.7934245
2035,"Without_Earmarks",49310421.0014242
2036,"Without_Earmarks",49472841.1581631
2037,"Without_Earmarks",50060280.2805953
2038,"Without_Earmarks",48955294.7731698
2039,"Without_Earmarks",49847646.1650262
2040,"Without_Earmarks",50411589.4094192
2041,"Without_Earmarks",50416775.7967519
2042,"Without_Earmarks",50097577.8650094
2043,"Without_Earmarks",46882588.330542
2044,"Without_Earmarks",46471056.1242797
2045,"Without_Earmarks",48340426.4950897
2046,"Without_Earmarks",47459564.961691
2027,"With_Earmarks",36879969.8861039
2028,"With_Earmarks",46320411.3034942
2029,"With_Earmarks",44871315.463207
2030,"With_Earmarks",45421182.6738531
2031,"With_Earmarks",44505493.4492952
2032,"With_Earmarks",44405664.8011203
2033,"With_Earmarks",43708763.3592043
2034,"With_Earmarks",44590494.0652046
2035,"With_Earmarks",44288152.5275603
2036,"With_Earmarks",43613527.9386552
2037,"With_Earmarks",43363922.3154435
2038,"With_Earmarks",41421892.062374
2039,"With_Earmarks",41477198.7085864
2040,"With_Earmarks",41204097.2073354
2041,"With_Earmarks",40372238.8490241
2042,"With_Earmarks",39215996.1716377
2043,"With_Earmarks",35163961.8915263
2044,"With_Earmarks",33915384.93962
2045,"With_Earmarks",34947710.564786
2046,"With_Earmarks",33229804.2857434
