"year","scenario","repayments"
2027,"Without_Earmarks",13957498.1671539
2028,"Without_Earmarks",21993758.4662249
2029,"Without_Earmarks",21210934.4010827
2030,"Without_Earmarks",21627812.8777515
2031,"Without_Earmarks",22034874.4544203
2032,"Without_Earmarks",22042022.5128474
2033,"Without_Earmarks",21081118.3984008
2034,"Without_Earmarks",20808686.7442712
2035,"Without_Earmarks",20899225.3231367
2036,"Without_Earmarks",20610484.2765056
2037,"Without_Earmarks",20904300.570276
2038,"Without_Earmarks",21094119.9212795
2039,"Without_Earmarks",20810009.7321564
2040,"Without_Earmarks",20774409.2728413
2041,"Without_Earmarks",20646547.592976
2042,"Without_Earmarks",21214907.1892461
2043,"Without_Earmarks",21735731.9842564
2044,"Without_Earmarks",21385198.8618586
2045,"Without_Earmarks",20065952.9138049
2046,"Without_Earmarks",20712106.3904737
2027,"With_Earmarks",13957498.1671539
2028,"With_Earmarks",21993758.4662249
2029,"With_Earmarks",21210934.4010827
2030,"With_Earmarks",20981659.4010827
2031,"With_Earmarks",20742567.5010827
2032,"With_Earmarks",20103562.082841
2033,"With_Earmarks",18496504.4917256
2034,"With_Earmarks",17577919.3609272
2035,"With_Earmarks",17022304.4631239
2036,"With_Earmarks",16087409.9398239
2037,"With_Earmarks",15735072.7569255
2038,"With_Earmarks",15278738.6312603
2039,"With_Earmarks",14348474.9654684
2040,"With_Earmarks",13666721.0294845
2041,"With_Earmarks",12892705.8729504
2042,"With_Earmarks",12814911.9925516
2043,"With_Earmarks",12689583.3108931
2044,"With_Earmarks",11692896.7118265
2045,"With_Earmarks",9727497.28710401
2046,"With_Earmarks",9727497.28710401
