"year","scenario","repayments"
2027,"Without_Earmarks",13062588.7052541
2028,"Without_Earmarks",13641385.7559976
2029,"Without_Earmarks",12730601.7292592
2030,"Without_Earmarks",12769632.9849965
2031,"Without_Earmarks",13082388.7630534
2032,"Without_Earmarks",13551696.8224504
2033,"Without_Earmarks",12547756.6521369
2034,"Without_Earmarks",13259814.5790803
2035,"Without_Earmarks",12595677.317625
2036,"Without_Earmarks",13137190.326009
2037,"Without_Earmarks",13562002.0493058
2038,"Without_Earmarks",13805528.5247834
2039,"Without_Earmarks",13645513.5890421
2040,"Without_Earmarks",13983533.9173848
2041,"Without_Earmarks",13597882.788386
2042,"Without_Earmarks",13855722.7390092
2043,"Without_Earmarks",14188638.8666653
2044,"Without_Earmarks",14422841.0133835
2045,"Without_Earmarks",14617175.3837095
2046,"Without_Earmarks",14607157.0646547
2027,"With_Earmarks",13062588.7052541
2028,"With_Earmarks",13641385.7559976
2029,"With_Earmarks",12730601.7292592
2030,"With_Earmarks",12769632.9849965
2031,"With_Earmarks",13082388.7630534
2032,"With_Earmarks",13551696.8224504
2033,"With_Earmarks",12547756.6521369
2034,"With_Earmarks",13259814.5790803
2035,"With_Earmarks",12595677.317625
2036,"With_Earmarks",13137190.326009
2037,"With_Earmarks",13562002.0493058
2038,"With_Earmarks",13805528.5247834
2039,"With_Earmarks",13645513.5890421
2040,"With_Earmarks",13983533.9173848
2041,"With_Earmarks",13597882.788386
2042,"With_Earmarks",13855722.7390092
2043,"With_Earmarks",14188638.8666653
2044,"With_Earmarks",14422841.0133835
2045,"With_Earmarks",14617175.3837095
2046,"With_Earmarks",14607157.0646547
