program,type,fy,state_abbr,GEOID,NAME,population,B01003_001M,mhi,B19013_001M,below_poverty,B17001_002M,white_non_hispanic,B03002_003M,pct_below_poverty,pct_poc,place_name
DW,earmark,23,AK,0284510,"Whittier city, Alaska",471,162,57188,33969,75,53,206,77,15.92356687898089,56.26326963906582,Whittier
DW,earmark,23,AK,0213340,"Chickaloon CDP, Alaska",318,147,46042,15767,8,12,283,145,2.515723270440252,11.006289308176093,Chickaloon
DW,earmark,23,AK,0286490,"Yakutat CDP, Alaska",506,66,80625,27497,39,31,125,95,7.707509881422925,75.29644268774703,Yakutat
DW,earmark,23,AK,0254920,"Nome city, Alaska",3668,56,113561,13447,271,90,966,115,7.388222464558343,73.66412213740458,Nome
DW,earmark,23,AL,0129032,"Garden City town, Alabama",572,190,55313,12695,134,80,541,188,23.426573426573427,5.419580419580413,Garden City
DW,earmark,23,AL,0150000,"Mobile city, Alabama",185097,52,51090,2058,33863,2036,72599,2159,18.294731951355235,60.77786241808349,Mobile
DW,earmark,23,AR,0525360,"Fulton town, Arkansas",155,86,36250,20703,13,22,72,64,8.38709677419355,53.54838709677419,Fulton
DW,earmark,23,AZ,0408220,"Bullhead City city, Arizona",42193,56,47717,2604,8534,1146,29540,969,20.22610385608987,29.98838669921551,Bullhead City
DW,earmark,23,AZ,0410180,"Carefree town, Arizona",3672,15,141331,35502,425,244,3543,102,11.574074074074074,3.5130718954248294,Carefree
DW,earmark,23,AZ,0451810,"Page city, Arizona",7407,18,88452,25566,831,489,3192,842,11.219117051437829,56.90562980963953,Page
DW,earmark,23,AZ,0420050,"Douglas city, Arizona",16118,28,39350,4742,3902,640,1748,311,24.208958927906686,89.15498200769326,Douglas
DW,earmark,23,AZ,0437200,"Kearny town, Arizona",2245,369,49688,23236,251,163,1324,371,11.180400890868597,41.02449888641425,Kearny
DW,earmark,23,AZ,0444410,"Maricopa city, Arizona",62986,54,94208,2722,4206,903,28844,1700,6.677674403835773,54.20569650398501,Maricopa
DW,earmark,23,CA,0620956,"East Palo Alto city, California",29143,56,104832,12356,2803,656,3625,849,9.618090107401436,87.56133548364959,East Palo Alto
DW,earmark,23,CA,0680644,"Tulare city, California",69984,866,69517,2823,12524,1911,19916,1672,17.89551897576589,71.54206675811614,Tulare
DW,earmark,23,CA,0686482,"Woodville CDP, California",1768,335,45089,15430,468,272,182,155,26.47058823529412,89.70588235294117,Woodville
DW,earmark,23,CA,0648354,"Modesto city, California",218614,91,77899,2387,28061,2096,85329,2308,12.835865955519774,60.9681905092995,Modesto
DW,earmark,23,CA,0601010,"Allensworth CDP, California",443,138,61250,15922,55,35,3,5,12.415349887133182,99.32279909706546,Allensworth
DW,earmark,23,CA,0619318,"Dinuba city, California",25201,37,59048,8624,7057,1435,2099,460,28.002857029482957,91.67096543787945,Dinuba
DW,earmark,23,CA,0611390,"Carmichael CDP, California",78070,2514,84376,3837,8618,1100,49843,2208,11.038811323171513,36.15601383373895,Carmichael
DW,earmark,23,CA,0613588,"Citrus Heights city, California",87036,129,77167,2840,8475,1202,58182,1650,9.737350062043292,33.1517992554805,Citrus Heights
DW,earmark,23,CA,0664000,"Sacramento city, California",524802,252,83753,1595,74355,3990,158393,3227,14.168200578503892,69.81852203307153,Sacramento
DW,earmark,23,CA,0654652,"Oxnard city, California",201014,62,93372,2699,21528,1973,25031,1290,10.709701811814103,87.5476334981643,Oxnard
DW,earmark,23,CA,0603162,"Atwater city, California",32013,68,63945,5196,6343,1043,9375,954,19.813825633336457,70.71502202230343,Atwater
DW,earmark,23,CA,0661026,"Ripon city, California",16117,46,120061,21528,565,188,10560,742,3.5056151889309426,34.47912142458274,Ripon
DW,earmark,23,CA,0617428,"Crows Landing CDP, California",306,253,41667,24477,65,61,41,40,21.241830065359476,86.60130718954248,Crows Landing
DW,earmark,23,CA,0681736,"Valley Center CDP, California",10303,1498,116620,18523,1242,768,4702,891,12.054741337474521,54.362806949432205,Valley Center
DW,earmark,23,CA,0653980,"Orange city, California",138723,68,116945,4724,12185,1926,55627,2089,8.783691240818033,59.900665354699655,Orange
DW,earmark,23,CA,0601276,"Alta CDP, California",740,235,94718,11274,43,34,644,232,5.810810810810811,12.972972972972968,Alta
DW,earmark,23,CA,0603386,"Azusa city, California",49318,61,85727,6051,5771,1008,7378,633,11.701609959852387,85.03994484772294,Azusa
DW,earmark,23,CA,0664224,"Salinas city, California",161993,109,89150,3324,22844,2928,18685,1271,14.101843906835482,88.465550980597925,Salinas
DW,earmark,23,CA,0672688,"Soquel CDP, California",10691,1159,114991,6807,684,218,7384,886,6.397904779721261,30.932560097278085,Soquel
DW,earmark,23,CA,0633182,"Hemet city, California",90646,60,53623,3258,14341,1739,30390,2202,15.820885643050989,66.47397568563423,Hemet
DW,earmark,23,CA,0614260,"Coachella city, California",42594,44,67558,8035,4481,1007,582,241,10.520261069634222,98.63361036765741,Coachella
DW,earmark,23,CA,0669154,"Santa Fe Springs city, California",19310,45,86857,5934,2119,611,1780,430,10.973588814085966,90.7819782496116,Santa Fe Springs
DW,earmark,23,CA,0657792,"Pleasanton city, California",77500,76,186206,7980,4272,914,30039,1485,5.5122580645161285,61.24,Pleasanton
DW,earmark,23,CA,0658072,"Pomona city, California",148391,54,78869,3818,20569,1786,14893,1199,13.86135277745955,89.96367704240824,Pomona
DW,earmark,23,CA,0613210,"Chino city, California",91775,93,103845,3958,6536,1095,16143,1426,7.121765186597657,82.41024244075183,Chino
DW,earmark,23,CA,0625436,"Fowler city, California",6930,21,61071,7121,1610,633,1128,395,23.232323232323232,83.72294372294373,Fowler
DW,earmark,23,CA,0636546,"Inglewood city, California",105575,57,71029,2160,15537,1727,5926,825,14.716552214065832,94.38692872365617,Inglewood
DW,earmark,23,CO,0853120,"Naturita town, Colorado",520,158,28021,11225,142,85,511,157,27.307692307692307,1.7307692307692406,Naturita
DW,earmark,23,CO,0819850,"Delta city, Colorado",9266,22,46010,4840,1775,504,6406,420,19.15605439240233,30.865529894237,Delta
DW,earmark,23,CO,0878610,"Trinidad city, Colorado",8309,24,50792,6652,1470,273,4126,261,17.69165964616681,50.34300156456854,Trinidad
DW,earmark,23,CO,0813460,"Cheraw town, Colorado",211,63,38542,14161,32,21,176,62,15.165876777251185,16.587677725118482,Cheraw
DW,earmark,23,CO,0875640,"Superior town, Colorado",13136,35,157909,11968,384,181,9052,560,2.92326431181486,31.09013398294762,Superior
DW,earmark,23,CO,0804000,"Aurora city, Colorado",390201,117,84320,1657,43554,3028,165042,2357,11.161939615736504,57.70333751066758,Aurora
DW,earmark,23,CO,0850920,"Minturn town, Colorado",987,319,113519,11588,67,53,733,293,6.788247213779129,25.734549138804468,Minturn
DW,earmark,23,CO,0854330,"Northglenn city, Colorado",37953,54,79530,4652,3482,958,19170,1185,9.174505309198219,49.49015888072089,Northglenn
DW,earmark,23,CT,0956200,"Norwich city, Connecticut",39992,32,64185,4982,5921,1084,22375,1204,14.805461092218444,44.05131026205241,Norwich
DW,earmark,23,DE,1021200,"Dover city, Delaware",39491,66,58336,3615,6232,1021,13819,998,15.780810817654656,65.0072168342154,Dover
DW,earmark,23,FL,1224125,"Fort Myers city, Florida",91730,74,62160,4032,14963,1527,42995,2008,16.31200261637414,53.128747410879754,Fort Myers
DW,earmark,23,FL,1239375,"Lantana town, Florida",11845,26,69677,12561,1107,313,4862,677,9.34571549176868,58.95314478682989,Lantana
DW,earmark,23,FL,1256625,"Pinecrest village, Florida",18138,111,192477,21048,1149,414,8137,703,6.334766787958982,55.13838350424523,Pinecrest
DW,earmark,23,FL,1239850,"Lee town, Florida",774,386,43688,1891,321,257,453,241,41.47286821705426,41.47286821705426,Lee
DW,earmark,23,FL,1232000,"Hollywood city, Florida",152935,60,65359,2276,20356,2287,53260,2034,13.310229836204924,65.17474744172361,Hollywood
DW,earmark,23,GA,1312260,"Byron city, Georgia",5839,31,86265,9026,663,377,2412,456,11.354684021236514,58.6915567734201,Byron
DW,earmark,23,GA,1343360,"Keysville city, Georgia",360,144,NA,NA,78,71,102,62,21.666666666666668,71.66666666666667,Keysville
DW,earmark,23,GA,1325720,"East Point city, Georgia",38233,31,58983,6503,8815,1477,3892,729,23.05599874454006,89.82031229566081,East Point
DW,earmark,23,IL,1714000,"Chicago city, Illinois",2707648,72,75134,876,447143,10150,872159,6482,16.51407420757794,67.7890552981776,Chicago
DW,earmark,23,IL,1722697,"Edwardsville city, Illinois",26543,356,92671,10876,2653,571,22596,729,9.99510228685529,14.870210601665221,Edwardsville
DW,earmark,23,IL,1737998,"Ivesdale village, Illinois",212,69,61250,30882,30,32,211,69,14.150943396226415,0.47169811320755173,Ivesdale
DW,earmark,23,IL,1704572,"Bedford Park village, Illinois",594,251,111250,21967,60,59,289,103,10.1010101010101,51.34680134680135,Bedford Park
DW,earmark,23,IL,1712164,"Centralia city, Illinois",12009,154,47308,3837,2590,593,9670,338,21.56715796485969,19.477058872512288,Centralia
DW,earmark,23,IL,1762367,"Quincy city, Illinois",39188,27,56372,3546,5839,777,33813,272,14.899969378381137,13.715933449015012,Quincy
DW,earmark,23,IL,1779293,"Waukegan city, Illinois",88919,384,70578,2982,13412,2235,16084,1218,15.083390501467628,81.91162743620599,Waukegan
DW,earmark,23,IL,1743055,"Lewistown city, Illinois",1828,338,49022,11118,209,87,1702,330,11.433260393873084,6.892778993435442,Lewistown
DW,earmark,23,IL,1743965,"Litchfield city, Illinois",6814,335,54190,11186,1117,314,6731,352,16.39272086879953,1.2180804226592272,Litchfield
DW,earmark,23,IL,1731589,"Greenville city, Illinois",7159,227,52727,8927,846,449,5484,304,11.817292918005307,23.397122503142896,Greenville
DW,earmark,23,IL,1757472,"Pana city, Illinois",5277,198,45083,11113,754,273,4768,367,14.28842145158234,9.645631987871894,Pana
DW,earmark,23,IL,1738570,"Joliet city, Illinois",149785,914,88026,3684,16204,1646,65105,2017,10.81817271422372,56.534365924491766,Joliet
DW,earmark,23,IL,1764655,"Roberts village, Illinois",493,135,63438,24744,117,51,442,124,23.732251521298174,10.34482758620689,Roberts
DW,earmark,23,IL,1746357,"Manhattan village, Illinois",10315,542,128375,6441,344,180,8337,685,3.3349491032476974,19.17595734367427,Manhattan
DW,earmark,23,IL,1748892,"Midlothian village, Illinois",14024,26,67872,8993,1560,533,6769,909,11.123787792355962,51.732743867655444,Midlothian
DW,earmark,23,IL,1770122,"Skokie village, Illinois",66427,56,93550,5245,6303,1139,32374,1558,9.488611558552998,51.26379333704668,Skokie
DW,earmark,23,IL,1756887,"Oswego village, Illinois",35463,37,119881,6739,798,318,22329,1354,2.250232636832755,37.035783774638354,Oswego
DW,earmark,23,KS,2036000,"Kansas City city, Kansas",154776,26,59183,1821,27477,1896,53185,702,17.752752364707707,65.63743732878483,Kansas City
DW,earmark,23,KY,2144146,"Lawrenceburg city, Kentucky",11838,39,63690,6881,1377,590,10717,259,11.63203243791181,9.469504983949989,Lawrenceburg
DW,earmark,23,KY,2173164,"Stanton city, Kentucky",3211,15,29141,8863,798,227,3075,94,24.85207100591716,4.235440672687645,Stanton
DW,earmark,23,KY,2144344,"Lebanon city, Kentucky",6364,17,39483,11067,1899,542,4502,162,29.839723444374606,29.258328095537394,Lebanon
DW,earmark,23,KY,2135362,"Hazard city, Kentucky",5105,45,68582,21698,1477,529,4553,157,28.932419196865816,10.812928501469145,Hazard
DW,earmark,23,LA,2225160,"Farmerville town, Louisiana",3331,21,22191,4543,1539,330,897,229,46.202341639147406,73.07114980486341,Farmerville
DW,earmark,23,LA,2237830,"Jackson town, Louisiana",3976,21,37981,9902,612,240,1232,252,15.392354124748492,69.01408450704226,Jackson
DW,earmark,23,LA,2253545,"Natchitoches city, Louisiana",17682,35,38731,6308,5380,650,6249,421,30.426422350412853,64.65897522904649,Natchitoches
DW,earmark,23,LA,2212000,"Cameron CDP, Louisiana",177,94,51912,31557,0,14,164,94,0,7.344632768361578,Cameron
DW,earmark,23,MA,2525485,"Gardner city, Massachusetts",21075,27,62948,7955,2850,601,16816,725,13.523131672597867,20.208778173190993,Gardner
DW,earmark,23,MA,2560820,"Sharon CDP, Massachusetts",6022,678,183239,10869,190,139,4357,658,3.155097974094985,27.64862172035869,Sharon
DW,earmark,23,MA,2562465,"Somerset CDP, Massachusetts",18246,28,111720,7775,890,298,16731,516,4.877781431546641,8.303189740217036,Somerset
DW,earmark,23,MA,2509875,"Burlington CDP, Massachusetts",26223,41,142207,8978,1457,413,19584,830,5.5561911299241125,25.317469397094143,Burlington
DW,earmark,23,MA,2580370,"Winchendon CDP, Massachusetts",4407,598,67188,21133,624,310,3569,701,14.15929203539823,19.015203085999545,Winchendon
DW,earmark,23,MD,2483100,"Westminster city, Maryland",20257,44,79431,9842,2043,557,15754,697,10.085402576887002,22.22935281631041,Westminster
DW,earmark,23,MD,2456450,"North East town, Maryland",4095,22,87510,11906,653,387,3408,322,15.946275946275945,16.776556776556774,North East
DW,earmark,23,MD,2481175,"Waldorf CDP, Maryland",82541,1651,115453,5416,5739,996,15243,1080,6.952908251656753,81.53281399546893,Waldorf
DW,earmark,23,ME,2328835,"Gray CDP, Maine",810,513,125838,96379,28,46,782,512,3.45679012345679,3.456790123456784,Gray
DW,earmark,23,ME,2309585,"Calais city, Maine",3087,38,48654,12506,654,194,2906,97,21.18561710398445,5.863297700032405,Calais
DW,earmark,23,ME,2301360,"Anson CDP, Maine",687,223,52083,45293,142,91,687,223,20.66957787481805,0,Anson
DW,earmark,23,MI,2607520,"Benton Harbor city, Michigan",9023,26,29652,5080,3752,710,837,327,41.58262218774244,90.72370608445085,Benton Harbor
DW,earmark,23,MI,2670040,"Royal Oak city, Michigan",57880,42,95182,4015,3428,555,46772,1158,5.922598479612992,19.19143054595716,Royal Oak
DW,earmark,23,MI,2636280,"Hamtramck city, Michigan",27830,49,40103,4862,10475,1358,15723,1282,37.6392382321236,43.503413582464965,Hamtramck
DW,earmark,23,MI,2668380,"Richmond city, Michigan",5839,27,61715,6347,1329,506,4686,487,22.760746703202603,19.746531940400757,Richmond
DW,earmark,23,MI,2601660,"Almont village, Michigan",2830,22,81511,4158,225,101,2479,170,7.950530035335689,12.402826855123678,Almont
DW,earmark,23,MI,2670680,"St. Clair city, Michigan",5581,27,68482,8964,531,348,5272,190,9.5144239383623,5.536642178821012,St. Clair
DW,earmark,23,MI,2616160,"Clawson city, Michigan",11314,24,86630,4640,604,214,9819,424,5.338518649460846,13.21371751811914,Clawson
DW,earmark,23,MI,2641420,"Jackson city, Michigan",31206,40,42848,2002,7797,793,19951,695,24.98557969621227,36.06678202909697,Jackson
DW,earmark,23,MN,2712664,"Cologne city, Minnesota",2146,274,117344,29936,130,135,1790,229,6.0577819198508855,16.589002795899347,Cologne
DW,earmark,23,MN,2771428,"Woodbury city, Minnesota",76945,56,126222,8350,3729,1077,55173,1476,4.846318799142244,28.295535772304888,Woodbury
DW,earmark,23,MN,2704456,"Beaver Bay city, Minnesota",90,36,48333,31250,18,15,83,33,20,7.7777777777777715,Beaver Bay
DW,earmark,23,MN,2749138,"Otsego city, Minnesota",21358,22,127219,9749,178,117,17633,554,0.8334113681056278,17.440771607828452,Otsego
DW,earmark,23,MN,2733920,"Lafayette city, Minnesota",478,111,95500,15214,13,10,465,109,2.7196652719665275,2.7196652719665337,Lafayette
DW,earmark,23,MN,2751730,"Plymouth city, Minnesota",79526,47,133865,4320,3260,888,58209,1701,4.099288283077232,26.805070039986916,Plymouth
DW,earmark,23,MN,2700460,"Aitkin city, Minnesota",2217,210,45813,7549,387,121,2065,195,17.456021650879567,6.856111862877768,Aitkin
DW,earmark,23,MN,2702872,"Aurora city, Minnesota",1897,175,42406,7522,384,160,1839,176,20.242488139167104,3.0574591460200367,Aurora
DW,earmark,23,MO,2970000,"Springfield city, Missouri",169432,92,45984,1225,30983,1892,140349,1265,18.286392180933944,17.164998347419612,Springfield
DW,earmark,23,MO,2964082,"St. Charles city, Missouri",71048,58,85522,4830,3964,554,55044,1188,5.579326652404008,22.525616484630106,St. Charles
DW,earmark,23,MO,2908650,"Brookfield city, Missouri",4128,274,55543,7000,790,324,3758,280,19.137596899224807,8.963178294573652,Brookfield
DW,earmark,23,MO,2961238,"Republic city, Missouri",19233,47,64364,5497,2978,1197,16902,743,15.483803878750066,12.119794103883947,Republic
DW,earmark,23,MS,2810140,"Byram city, Mississippi",12847,23,74103,7575,1150,453,3134,593,8.951506188215147,75.60519965750758,Byram
DW,earmark,23,MS,2862520,"Ridgeland city, Mississippi",24548,44,63470,3136,2436,680,10657,825,9.923415349519308,56.58709467166368,Ridgeland
