state,allotment,pct,fy,program,base_total,hypothetical,account,total_earmarks,actual_total,difference,diff_as_pct,bar_color,state_abbr
Alabama,8719000,0.0177,FY23,DWSRF,1103040899,19523823.91,STAG— Drinking Water State Revolving Fund,1800000,10519000,-9004823.912,-0.461222348,Negative,AL
Alaska,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,8162000,13100000,2069591.01,0.187625954,Positive,AK
Arizona,8638000,0.0175,FY23,DWSRF,1103040899,19303215.73,STAG— Drinking Water State Revolving Fund,14867361,23505361,4202145.268,0.217691463,Positive,AZ
Arkansas,5912000,0.012,FY23,DWSRF,1103040899,13236490.79,STAG— Drinking Water State Revolving Fund,15050000,20962000,7725509.212,0.583652369,Positive,AR
California,53272000,0.1079,FY23,DWSRF,1103040899,119018113,STAG— Drinking Water State Revolving Fund,74512099,127784099,8765985.998,0.073652537,Positive,CA
Colorado,8650000,0.0175,FY23,DWSRF,1103040899,19303215.73,STAG— Drinking Water State Revolving Fund,13193600,21843600,2540384.268,0.1316042,Positive,CO
Connecticut,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,7863000,12801000,1770591.01,0.160519072,Positive,CT
Delaware,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,1800000,6738000,-4292408.99,-0.389143231,Negative,DE
Florida,17820000,0.0361,FY23,DWSRF,1103040899,39819776.45,STAG— Drinking Water State Revolving Fund,12692972,30512972,-9306804.454,-0.233723172,Negative,FL
Georgia,13389000,0.0271,FY23,DWSRF,1103040899,29892408.36,STAG— Drinking Water State Revolving Fund,6436000,19825000,-10067408.36,-0.336788132,Negative,GA
Hawaii,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,2160000,7098000,-3932408.99,-0.356506182,Negative,HI
Idaho,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,NA,0,4938000,-6092408.99,-0.552328476,Negative,ID
Illinois,14985000,0.0303,FY23,DWSRF,1103040899,33422139.24,STAG— Drinking Water State Revolving Fund,25470095,40455095,7032955.76,0.210428055,Positive,IL
Indiana,8473000,0.0172,FY23,DWSRF,1103040899,18972303.46,NA,0,8473000,-10499303.46,-0.55340162,Negative,IN
Iowa,7424000,0.015,FY23,DWSRF,1103040899,16545613.49,NA,0,7424000,-9121613.485,-0.551301014,Negative,IA
Kansas,5507000,0.0112,FY23,DWSRF,1103040899,12354058.07,STAG— Drinking Water State Revolving Fund,1.00E+07,15507000,3152941.931,0.255215081,Positive,KS
Kentucky,6012000,0.0122,FY23,DWSRF,1103040899,13457098.97,STAG— Drinking Water State Revolving Fund,11328000,17340000,3882901.032,0.288539234,Positive,KY
Louisiana,6741000,0.0137,FY23,DWSRF,1103040899,15111660.32,STAG— Drinking Water State Revolving Fund,4430000,11171000,-3940660.316,-0.260769514,Negative,LA
Maine,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,6084000,11022000,-8408.99,-0.000762346,Negative,ME
Maryland,10260000,0.0208,FY23,DWSRF,1103040899,22943250.7,STAG— Drinking Water State Revolving Fund,5845000,16105000,-6838250.699,-0.298050646,Negative,MD
Massachusetts,10602000,0.0215,FY23,DWSRF,1103040899,23715379.33,STAG— Drinking Water State Revolving Fund,14600894,25202894,1487514.672,0.06272363,Positive,MA
Michigan,11267000,0.0228,FY23,DWSRF,1103040899,25149332.5,STAG— Drinking Water State Revolving Fund,25796772,37063772,11914439.5,0.473747743,Positive,MI
Minnesota,7470000,0.0151,FY23,DWSRF,1103040899,16655917.57,STAG— Drinking Water State Revolving Fund,17572972,25042972,8387054.425,0.503548027,Positive,MN
Mississippi,6184000,0.0125,FY23,DWSRF,1103040899,13788011.24,STAG— Drinking Water State Revolving Fund,18626424,24810424,11022412.76,0.799420059,Positive,MS
Missouri,8039000,0.0163,FY23,DWSRF,1103040899,17979566.65,STAG— Drinking Water State Revolving Fund,22240000,30279000,12299433.35,0.684078409,Positive,MO
Montana,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,NA,0,4938000,-6092408.99,-0.552328476,Negative,MT
Nebraska,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,NA,0,4938000,-6092408.99,-0.552328476,Negative,NE
Nevada,5120000,0.0104,FY23,DWSRF,1103040899,11471625.35,STAG— Drinking Water State Revolving Fund,16106640,21226640,9755014.65,0.850360289,Positive,NV
New Hampshire,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,6452972,11390972,360563.01,0.032688091,Positive,NH
New Jersey,8766000,0.0178,FY23,DWSRF,1103040899,19634128,STAG— Drinking Water State Revolving Fund,30896395,39662395,20028267,1.020074179,Positive,NJ
New Mexico,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,4065000,9003000,-2027408.99,-0.183801797,Negative,NM
New York,23065000,0.0467,FY23,DWSRF,1103040899,51512009.98,STAG— Drinking Water State Revolving Fund,46517616,69582616,18070606.02,0.350803745,Positive,NY
North Carolina,13607000,0.0276,FY23,DWSRF,1103040899,30443928.81,STAG— Drinking Water State Revolving Fund,9046872,22653872,-7790056.812,-0.255882112,Negative,NC
North Dakota,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,NA,0,4938000,-6092408.99,-0.552328476,Negative,ND
Ohio,11151000,0.0226,FY23,DWSRF,1103040899,24928724.32,STAG— Drinking Water State Revolving Fund,11428540,22579540,-2349184.317,-0.094236042,Negative,OH
