"state","total_earmarks_Baseline","total_earmarks_With Earmarks","total_repayments_Baseline","total_repayments_With Earmarks","total_cap_grants_Baseline","total_cap_grants_With Earmarks","earmark_amount","repayment_loss_amount","net_funding_change","net_financial_impact","loss_start","loss_end","funding_change_positive","funding_change_negative","impact_type"
"TX",0,184747650,3287196991.89441,3204034178.17662,1542316473.68421,733444904.88421,184747650,83162813.7177849,-808871568.8,-892034382.517785,-808871568.8,-892034382.517785,0,-808871568.8,"Negative Net Impact"
"FL",0,283084240,1972339751.29957,1840528565.21701,708652826.315789,541445262.06579,283084240,131811186.082555,-167207564.25,-299018750.332554,-167207564.25,-299018750.332554,0,-167207564.25,"Negative Net Impact"
"MD",0,126461720,558049088.362521,505233392.382804,287488166.315789,154349927.085789,126461720,52815695.9797166,-133138239.23,-185953935.209716,-133138239.23,-185953935.209716,0,-133138239.23,"Negative Net Impact"
"WA",0,284638200,1058472618.82052,934318618.20018,432588421.052631,431642290.932632,284638200,124154000.620343,-946130.119999945,-125100130.740343,-946130.119999945,-125100130.740343,0,-946130.119999945,"Negative Net Impact"
"IL",0,523675660,3552946005.93332,3307060527.23275,688728842.105263,835001436.495263,523675660,245885478.700562,146272594.39,-99612884.3105623,146272594.39,-99612884.3105623,146272594.39,0,"Negative Net Impact"
"CT",0,130225090,455940740.226521,394475311.783993,176915263.157895,182442872.757895,130225090,61465428.4425288,5527609.60000011,-55937818.8425287,5527609.60000011,-55937818.8425287,5527609.60000011,0,"Negative Net Impact"
"OR",0,323770000,500934993.60826,349951499.656793,252983157.894737,390111937.344737,323770000,150983493.951467,137128779.45,-13854714.5014664,137128779.45,-13854714.5014664,137128779.45,0,"Negative Net Impact"
"ME",0,206310000,293036958.141786,207510557.956217,168100000,249712519.6,206310000,85526400.1855685,81612519.5999999,-3913880.58556855,81612519.5999999,-3913880.58556855,81612519.5999999,0,"Negative Net Impact"
"OK",0,403282810,2437709305.33093,2240093350.22516,291559368.421053,514355331.791053,403282810,197615955.105767,222795963.37,25180008.2642329,222795963.37,25180008.2642329,222795963.37,0,"Positive Net Impact"
"AK",0,313620000,350424131.43339,206904404.025952,185201473.684211,374123993.284211,313620000,143519727.407438,188922519.6,45402792.1925621,188922519.6,45402792.1925621,188922519.6,0,"Positive Net Impact"
